trial_id,density,nback,window,window_duration_s,window_reaches_handback,brake_channel_peaks__prominence15,brake_channel_peaks__prominence30,brake_channel_peaks__prominence5,steering_channel_hysteresis_reversals__gap1deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap1deg_raw,steering_channel_hysteresis_reversals__gap2deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap2deg_raw,steering_channel_hysteresis_reversals__gap3deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap3deg_raw,steering_channel_hysteresis_reversals__gap5deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap5deg_raw
density_0_nback_0_id_16,0,0,POST_BUTTON_MANUAL,18.25,False,1,0,1,12,14,11,11,9,9,7,7
density_0_nback_0_id_16,0,0,POST_TOR_MANUAL,19.450000047683716,False,1,1,1,12,14,11,11,9,9,7,7
density_0_nback_0_id_17,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,6,6,4,4,3,3,3,3
density_0_nback_0_id_17,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.5,True,2,2,4,14,14,12,12,12,12,8,8
density_0_nback_0_id_17,0,0,POST_BUTTON_MANUAL,11.149999856948853,False,1,0,1,9,9,7,7,6,6,4,4
density_0_nback_0_id_17,0,0,POST_TOR_MANUAL,12.349999904632568,False,1,1,1,9,9,7,7,6,6,4,4
density_0_nback_0_id_18,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,2,2,6,6,6,6,3,3,3,3
density_0_nback_0_id_18,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,45.75,True,2,2,3,16,16,16,16,12,12,12,12
density_0_nback_0_id_18,0,0,POST_BUTTON_MANUAL,14.599999904632568,False,2,2,2,11,11,11,11,7,7,6,6
density_0_nback_0_id_18,0,0,POST_TOR_MANUAL,15.649999856948853,False,2,2,2,11,11,11,11,7,7,6,6
density_0_nback_0_id_19,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,7,7,1,1,1,1,1,1
density_0_nback_0_id_19,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,47.59999990463257,True,1,1,1,24,24,14,14,6,8,4,4
density_0_nback_0_id_19,0,0,POST_BUTTON_MANUAL,16.5,False,1,1,1,18,18,9,9,4,6,2,2
density_0_nback_0_id_19,0,0,POST_TOR_MANUAL,17.5,False,1,1,1,18,18,9,9,4,6,2,2
density_0_nback_0_id_2,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,True,2,1,3,4,4,1,1,1,1,1,1
density_0_nback_0_id_2,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,37.5,True,2,1,4,15,17,12,12,12,12,10,10
density_0_nback_0_id_2,0,0,POST_BUTTON_MANUAL,5.400000095367432,False,1,1,2,3,3,1,1,1,1,1,1
density_0_nback_0_id_2,0,0,POST_TOR_MANUAL,7.299999952316284,False,2,1,3,4,4,1,1,1,1,1,1
density_0_nback_0_id_20,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,5,5,3,3,1,1,0,0
density_0_nback_0_id_20,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,43.90000009536743,True,1,1,2,15,15,12,12,8,8,5,5
density_0_nback_0_id_20,0,0,POST_BUTTON_MANUAL,11.950000047683716,False,0,0,1,7,7,5,5,3,3,3,3
density_0_nback_0_id_20,0,0,POST_TOR_MANUAL,13.799999952316284,False,1,1,2,8,8,5,5,3,3,2,2
density_0_nback_0_id_21,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,5,5,4,4,4,4,4,4
density_0_nback_0_id_21,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,46.75,True,2,2,2,16,16,16,16,16,16,10,12
density_0_nback_0_id_21,0,0,POST_BUTTON_MANUAL,15.149999856948853,False,0,0,0,8,8,8,8,8,8,4,4
density_0_nback_0_id_21,0,0,POST_TOR_MANUAL,16.59999990463257,False,1,1,1,8,8,8,8,8,8,4,4
density_0_nback_0_id_22,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,0,0,1,2,2,2,2,2,2,2,2
density_0_nback_0_id_22,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,40.65000009536743,True,1,1,2,6,6,6,6,6,6,6,6
density_0_nback_0_id_22,0,0,POST_BUTTON_MANUAL,10.049999952316284,False,0,0,1,2,2,2,2,2,2,2,2
density_0_nback_0_id_22,0,0,POST_TOR_MANUAL,10.549999952316284,False,0,0,1,2,2,2,2,2,2,2,2
density_0_nback_0_id_23,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,3,3,1,1,1,1,1,1
density_0_nback_0_id_23,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.450000047683716,True,1,1,2,9,9,8,8,8,8,6,6
density_0_nback_0_id_23,0,0,POST_BUTTON_MANUAL,9.950000047683716,False,0,0,0,2,2,2,2,2,2,2,2
density_0_nback_0_id_23,0,0,POST_TOR_MANUAL,12.25,False,1,1,2,3,3,2,2,2,2,2,2
density_0_nback_0_id_24,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,3,3,3,3,3,3,3,3
density_0_nback_0_id_24,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,43.700000047683716,True,2,2,3,12,14,12,12,10,10,8,8
density_0_nback_0_id_24,0,0,POST_BUTTON_MANUAL,12.450000047683716,False,1,1,1,7,8,7,7,7,7,5,5
density_0_nback_0_id_24,0,0,POST_TOR_MANUAL,13.549999952316284,False,1,1,1,7,8,7,7,7,7,5,5
density_0_nback_0_id_25,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,4,4,4,4,4,4,0,0
density_0_nback_0_id_25,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,46.5,True,1,1,1,10,10,10,10,10,10,3,3
density_0_nback_0_id_25,0,0,POST_BUTTON_MANUAL,15.049999952316284,False,0,0,1,7,7,6,6,6,6,1,1
density_0_nback_0_id_25,0,0,POST_TOR_MANUAL,16.299999952316284,False,1,1,1,7,7,6,6,6,6,1,1
density_0_nback_0_id_26,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,3,3,2,2,1,1,1,1
density_0_nback_0_id_26,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.700000047683716,True,2,2,3,11,11,10,10,8,8,8,8
density_0_nback_0_id_26,0,0,POST_BUTTON_MANUAL,10.299999952316284,False,0,0,0,4,4,4,4,2,2,2,2
density_0_nback_0_id_26,0,0,POST_TOR_MANUAL,12.599999904632568,False,1,1,2,5,5,4,4,2,2,2,2
density_0_nback_0_id_27,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,5,5,5,5,5,5,5,5
density_0_nback_0_id_27,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,56.40000009536743,True,3,3,3,29,27,23,27,19,23,15,15
density_0_nback_0_id_27,0,0,POST_BUTTON_MANUAL,25.34999990463257,False,1,1,1,23,21,19,21,15,19,10,10
density_0_nback_0_id_27,0,0,POST_TOR_MANUAL,26.25,False,1,1,1,23,21,19,21,15,19,10,10
density_0_nback_0_id_28,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,2,2,2,2,2,1,1,1,1
density_0_nback_0_id_28,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,45.299999952316284,True,2,1,3,13,17,13,13,12,12,8,8
density_0_nback_0_id_28,0,0,POST_BUTTON_MANUAL,10.75,False,0,0,0,5,9,5,5,5,5,2,2
density_0_nback_0_id_28,0,0,POST_TOR_MANUAL,15.099999904632568,False,2,1,2,6,10,6,6,5,5,2,2
density_0_nback_0_id_29,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,4,4,3,3,3,3,3,3
density_0_nback_0_id_29,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.700000047683716,True,1,1,3,15,15,14,14,10,10,10,10
density_0_nback_0_id_29,0,0,POST_BUTTON_MANUAL,12.349999904632568,False,0,0,0,7,7,7,7,4,4,4,4
density_0_nback_0_id_29,0,0,POST_TOR_MANUAL,14.599999904632568,False,1,1,2,8,8,7,7,4,4,4,4
density_0_nback_0_id_3,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,0,1,3,3,2,2,2,2,1,1
density_0_nback_0_id_3,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,39.09999990463257,True,2,1,2,9,9,6,6,6,6,6,6
density_0_nback_0_id_3,0,0,POST_BUTTON_MANUAL,8.300000190734863,False,1,0,1,3,3,2,2,2,2,1,1
density_0_nback_0_id_3,0,0,POST_TOR_MANUAL,8.950000047683716,False,1,0,1,3,3,2,2,2,2,1,1
density_0_nback_0_id_30,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,3,3,3,3,2,2,1,1
density_0_nback_0_id_30,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.15000009536743,True,2,1,2,9,9,7,7,6,6,6,6
density_0_nback_0_id_30,0,0,POST_BUTTON_MANUAL,12.75,False,0,0,0,5,5,3,3,2,2,2,2
density_0_nback_0_id_30,0,0,POST_TOR_MANUAL,14.049999952316284,False,1,1,1,5,5,3,3,2,2,2,2
density_0_nback_0_id_31,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,3,5,8,3,3,3,3,2,2
density_0_nback_0_id_31,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,49.549999952316284,True,2,2,4,15,17,13,13,11,11,8,8
density_0_nback_0_id_31,0,0,POST_BUTTON_MANUAL,18.5,False,1,1,3,10,12,8,8,5,6,5,5
density_0_nback_0_id_31,0,0,POST_TOR_MANUAL,19.40000009536743,False,1,1,3,10,12,8,8,6,6,5,5
density_0_nback_0_id_32,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.949999809265137,False,1,1,1,4,5,4,4,2,2,1,1
density_0_nback_0_id_32,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,38.75,True,3,3,5,14,16,10,10,6,6,6,6
density_0_nback_0_id_32,0,0,POST_BUTTON_MANUAL,7.599999904632568,False,1,1,1,4,6,4,4,2,2,1,1
density_0_nback_0_id_32,0,0,POST_TOR_MANUAL,8.649999856948853,False,1,1,1,4,6,4,4,2,2,1,1
density_0_nback_0_id_33,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,2,2,0,0,0,0,0,0
density_0_nback_0_id_33,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,47.200000047683716,True,2,2,2,13,13,9,9,7,7,5,5
density_0_nback_0_id_33,0,0,POST_BUTTON_MANUAL,15.5,False,0,0,0,5,5,2,2,1,1,1,1
density_0_nback_0_id_33,0,0,POST_TOR_MANUAL,17.049999952316284,False,1,1,1,6,6,2,2,1,1,1,1
density_0_nback_0_id_34,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,3,3,2,2,2,2,2,2
density_0_nback_0_id_34,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.799999952316284,True,1,1,2,11,11,10,10,10,10,6,6
density_0_nback_0_id_34,0,0,POST_BUTTON_MANUAL,10.0,False,0,0,0,3,3,3,3,3,3,2,2
density_0_nback_0_id_34,0,0,POST_TOR_MANUAL,12.649999856948853,False,1,1,2,4,4,3,3,3,3,2,2
density_0_nback_0_id_35,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,2,2,2,2,1,1,1,1
density_0_nback_0_id_35,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.25,True,2,2,3,12,12,10,10,8,8,6,6
density_0_nback_0_id_35,0,0,POST_BUTTON_MANUAL,12.75,False,0,0,0,5,5,3,3,2,2,2,2
density_0_nback_0_id_35,0,0,POST_TOR_MANUAL,14.049999952316284,False,1,1,1,5,5,3,3,2,2,2,2
density_0_nback_0_id_36,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,3,3,3,3,1,1,0,0
density_0_nback_0_id_36,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,75.84999990463257,True,3,3,4,21,23,17,21,11,13,8,8
density_0_nback_0_id_36,0,0,POST_BUTTON_MANUAL,44.60000014305115,False,1,1,1,13,13,10,12,6,6,3,3
density_0_nback_0_id_36,0,0,POST_TOR_MANUAL,45.700000047683716,False,1,1,1,13,13,11,13,6,6,3,3
density_0_nback_0_id_37,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,3,2,2,2,2,2,2,0,0
density_0_nback_0_id_37,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,49.5,True,1,1,3,11,11,9,9,9,9,7,7
density_0_nback_0_id_37,0,0,POST_BUTTON_MANUAL,18.09999990463257,False,1,1,3,6,6,6,6,6,6,5,5
density_0_nback_0_id_37,0,0,POST_TOR_MANUAL,19.399999856948853,False,1,1,3,6,6,6,6,6,6,4,4
density_0_nback_0_id_38,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,0,1,2,2,1,1,0,0,0,0
density_0_nback_0_id_38,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.75,True,2,1,2,13,13,12,12,9,9,5,5
density_0_nback_0_id_38,0,0,POST_BUTTON_MANUAL,13.849999904632568,False,1,0,1,6,6,5,5,2,2,1,1
density_0_nback_0_id_38,0,0,POST_TOR_MANUAL,14.599999904632568,False,1,0,1,6,6,5,5,2,2,1,1
density_0_nback_0_id_39,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,2,2,5,5,2,3,2,2,1,1
density_0_nback_0_id_39,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,43.0,True,3,3,3,15,15,11,11,9,9,8,8
density_0_nback_0_id_39,0,0,POST_BUTTON_MANUAL,11.600000143051147,False,1,1,1,10,10,6,6,6,6,4,5
density_0_nback_0_id_39,0,0,POST_TOR_MANUAL,12.900000095367432,False,2,2,2,10,10,6,6,6,6,4,5
density_0_nback_0_id_4,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,5,5,2,2,2,2,2,2
density_0_nback_0_id_4,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.39999985694885,True,2,2,3,14,16,10,10,8,8,8,8
density_0_nback_0_id_4,0,0,POST_BUTTON_MANUAL,11.350000143051147,False,1,1,1,8,8,4,4,4,4,3,4
density_0_nback_0_id_4,0,0,POST_TOR_MANUAL,12.25,False,1,1,1,8,8,4,4,4,4,3,4
density_0_nback_0_id_40,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,2,2,2,2,2,2,1,1
density_0_nback_0_id_40,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.09999990463257,True,1,1,3,10,10,10,10,10,10,6,6
density_0_nback_0_id_40,0,0,POST_BUTTON_MANUAL,12.850000143051147,False,1,1,2,5,5,5,5,5,5,3,3
density_0_nback_0_id_40,0,0,POST_TOR_MANUAL,13.950000047683716,False,1,1,2,5,5,5,5,5,5,3,3
density_0_nback_0_id_41,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,3,3,2,2,2,2,2,2
density_0_nback_0_id_41,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,47.450000047683716,True,1,1,4,15,15,12,12,12,12,12,12
density_0_nback_0_id_41,0,0,POST_BUTTON_MANUAL,16.200000047683716,False,1,1,3,7,7,6,6,6,6,6,6
density_0_nback_0_id_41,0,0,POST_TOR_MANUAL,17.299999952316284,False,1,1,3,8,8,6,6,6,6,6,6
density_0_nback_0_id_42,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,4,4,2,2,2,2,2,2
density_0_nback_0_id_42,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,46.25,True,2,2,2,11,11,8,8,8,8,6,6
density_0_nback_0_id_42,0,0,POST_BUTTON_MANUAL,15.0,False,1,1,1,8,8,5,5,5,5,5,5
density_0_nback_0_id_42,0,0,POST_TOR_MANUAL,16.09999990463257,False,1,1,1,8,8,5,5,5,5,5,5
density_0_nback_0_id_43,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,2,5,5,5,5,4,4,4,4
density_0_nback_0_id_43,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,57.549999952316284,True,3,2,5,18,18,16,16,15,15,13,13
density_0_nback_0_id_43,0,0,POST_BUTTON_MANUAL,26.65000009536743,False,2,1,4,12,12,11,11,10,10,8,8
density_0_nback_0_id_43,0,0,POST_TOR_MANUAL,27.40000009536743,False,2,1,4,12,12,11,11,10,10,8,8
density_0_nback_0_id_44,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,2,2,2,2,2,2,1,1
density_0_nback_0_id_44,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,45.75,True,2,1,2,6,6,6,6,6,6,5,5
density_0_nback_0_id_44,0,0,POST_BUTTON_MANUAL,14.5,False,1,0,1,5,5,5,5,4,4,3,3
density_0_nback_0_id_44,0,0,POST_TOR_MANUAL,15.599999904632568,False,1,1,1,5,5,5,5,4,4,3,3
density_0_nback_0_id_45,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,2,4,4,4,4,4,4,2,2
density_0_nback_0_id_45,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,90.45000004768372,True,2,1,3,32,34,22,22,21,21,11,11
density_0_nback_0_id_45,0,0,POST_BUTTON_MANUAL,58.799999952316284,False,0,0,1,27,29,18,19,18,18,10,10
density_0_nback_0_id_45,0,0,POST_TOR_MANUAL,60.299999952316284,False,1,1,2,27,29,18,19,18,18,10,10
density_0_nback_0_id_46,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,3,3,5,2,3,2,2,1,1
density_0_nback_0_id_46,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,43.950000047683716,True,2,1,3,8,10,8,8,8,8,4,4
density_0_nback_0_id_46,0,0,POST_BUTTON_MANUAL,13.200000047683716,False,2,1,3,5,7,5,5,4,4,2,2
density_0_nback_0_id_46,0,0,POST_TOR_MANUAL,13.799999952316284,False,2,1,3,5,7,5,5,4,4,2,2
density_0_nback_0_id_47,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.949999809265137,False,2,1,3,4,4,2,2,1,1,1,1
density_0_nback_0_id_47,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,48.799999952316284,True,4,3,6,14,14,10,10,8,8,8,8
density_0_nback_0_id_47,0,0,POST_BUTTON_MANUAL,17.34999990463257,False,1,0,3,7,7,5,5,5,5,4,4
density_0_nback_0_id_47,0,0,POST_TOR_MANUAL,18.649999856948853,False,2,1,3,7,7,5,5,5,5,4,4
density_0_nback_0_id_48,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,2,2,2,2,2,0,0,0,0
density_0_nback_0_id_48,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,64.04999995231628,True,6,3,7,22,28,20,20,15,17,12,12
density_0_nback_0_id_48,0,0,POST_BUTTON_MANUAL,33.25,False,4,1,5,11,13,9,9,5,5,5,5
density_0_nback_0_id_48,0,0,POST_TOR_MANUAL,33.89999985694885,False,4,1,5,11,13,9,9,5,5,5,5
density_0_nback_0_id_49,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,3,3,2,2,2,2,1,1
density_0_nback_0_id_49,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,57.89999985694885,True,2,1,4,21,21,18,18,18,18,11,11
density_0_nback_0_id_49,0,0,POST_BUTTON_MANUAL,26.299999952316284,False,1,0,2,14,14,12,12,12,12,6,6
density_0_nback_0_id_49,0,0,POST_TOR_MANUAL,27.75,False,2,1,3,15,15,12,12,12,12,6,6
density_0_nback_0_id_5,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,True,1,1,1,4,4,3,3,2,3,2,2
density_0_nback_0_id_5,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,36.39999985694885,True,2,2,4,19,19,18,18,14,14,14,14
density_0_nback_0_id_5,0,0,POST_BUTTON_MANUAL,4.299999952316284,False,0,0,0,2,2,2,2,2,2,2,2
density_0_nback_0_id_5,0,0,POST_TOR_MANUAL,6.25,False,1,1,1,3,3,2,2,2,2,2,2
density_0_nback_0_id_50,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,2,4,4,4,4,1,1,0,0
density_0_nback_0_id_50,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,52.64999985694885,True,2,1,2,15,17,15,15,12,12,11,11
density_0_nback_0_id_50,0,0,POST_BUTTON_MANUAL,20.100000143051147,False,1,1,1,8,8,7,7,5,5,4,4
density_0_nback_0_id_50,0,0,POST_TOR_MANUAL,22.5,False,2,1,2,8,8,8,8,5,5,4,4
density_0_nback_0_id_51,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,3,3,4,1,1,0,0,0,0,0,0
density_0_nback_0_id_51,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,49.40000009536743,True,5,5,7,16,18,13,15,7,9,5,5
density_0_nback_0_id_51,0,0,POST_BUTTON_MANUAL,18.200000047683716,False,3,2,4,5,5,5,5,3,3,1,1
density_0_nback_0_id_51,0,0,POST_TOR_MANUAL,19.299999952316284,False,3,3,4,5,5,4,4,3,3,1,1
density_0_nback_0_id_52,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,4,4,3,3,3,3,3,3
density_0_nback_0_id_52,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.64999985694885,True,1,1,2,15,15,12,12,8,8,6,6
density_0_nback_0_id_52,0,0,POST_BUTTON_MANUAL,13.25,False,1,0,1,10,10,7,7,5,5,5,5
density_0_nback_0_id_52,0,0,POST_TOR_MANUAL,14.450000047683716,False,1,1,1,10,10,7,7,5,5,5,5
density_0_nback_0_id_53,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,0,1,2,4,2,2,2,2,2,2
density_0_nback_0_id_53,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,49.34999990463257,True,2,1,3,16,20,16,16,14,14,12,12
density_0_nback_0_id_53,0,0,POST_BUTTON_MANUAL,18.450000047683716,False,1,0,1,11,13,11,11,9,9,7,7
density_0_nback_0_id_53,0,0,POST_TOR_MANUAL,19.200000047683716,False,1,0,1,11,13,11,11,9,9,7,7
density_0_nback_0_id_54,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,8,8,5,5,5,5,0,0
density_0_nback_0_id_54,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,43.799999952316284,True,1,1,2,17,17,14,14,14,14,7,7
density_0_nback_0_id_54,0,0,POST_BUTTON_MANUAL,12.299999952316284,False,0,0,0,10,10,7,7,7,7,1,1
