trial_id,participant_id,density,nback,RAW,TOR_PRESENT,TOR_ANCHORED,OWNER_WINDOW_ELIGIBLE,LANE_CHANGE_ANCHORED,MANUAL_WINDOW_ELIGIBLE,OWNER_ANALYSIS_SET,tor_state,lane_change_state,handback_state,t_tor,t_manual_start,t_lane_change,t_handback,excluded_from_TOR_PRESENT,excluded_from_TOR_ANCHORED,excluded_from_OWNER_WINDOW_ELIGIBLE,excluded_from_LANE_CHANGE_ANCHORED,excluded_from_MANUAL_WINDOW_ELIGIBLE
density_0_nback_0_id_22,22,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4501876831,29.9500217438,33.9502906799,40.0501098633,,,,,
density_0_nback_0_id_23,23,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.450220108,31.7503376007,35.6000366211,41.7999725342,,,,,
density_0_nback_0_id_24,24,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4498767853,30.5498561859,33.1999397278,43.0003623962,,,,,
density_0_nback_0_id_25,25,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4498462677,30.699546814,34.2500152588,45.7998580933,,,,,
density_0_nback_0_id_26,26,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4503383636,31.7503471375,35.0504837036,42.1004104614,,,,,
density_0_nback_0_id_27,27,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4503288269,30.3997402191,33.6000366211,55.7997436523,,,,,
density_0_nback_0_id_28,28,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4491634369,33.7991104126,36.449546814,44.5996589661,,,,,
density_0_nback_0_id_29,29,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4509487152,31.7009849548,34.2009773254,44.1002082825,,,,,
density_0_nback_0_id_2,2,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,29.4496879578,31.3002529144,35.3997192383,36.7997779846,,,,,
density_0_nback_0_id_30,30,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.450044632,30.7505912781,35.5508613586,43.5505218506,,,,,
density_0_nback_0_id_31,31,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4500331879,30.3501281738,35.4002494812,48.9005203247,,,,,
density_0_nback_0_id_32,32,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.3999462128,30.4002075195,33.0502853394,38.0501785278,,,,,
density_0_nback_0_id_33,33,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4507465363,31.000371933,35.6501808167,46.550491333,,,,,
density_0_nback_0_id_34,34,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4497585297,32.0500068665,34.5503959656,42.1001167297,,,,,
density_0_nback_0_id_35,35,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4501094818,30.7992343903,34.6998100281,43.5995597839,,,,,
density_0_nback_0_id_36,36,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4503383636,30.5500888824,35.7503089905,75.2002487183,,,,,
density_0_nback_0_id_37,37,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4001121521,30.7004852295,37.0500946045,48.8501167297,,,,,
density_0_nback_0_id_38,38,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4506034851,30.2000713348,34.7004699707,44.1499023438,,,,,
density_0_nback_0_id_39,39,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4500293732,30.7505722046,35.1503486633,42.4009132385,,,,,
density_0_nback_0_id_3,3,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4497470856,30.050037384,34.3491439819,38.4494438171,,,,,
density_0_nback_0_id_40,40,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,29.4499263763,30.5496635437,33.4503517151,43.449848175,,,,,
density_0_nback_0_id_41,41,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4499855042,30.5002918243,34.2993965149,46.7502784729,,,,,
density_0_nback_0_id_42,42,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4498310089,30.5006771088,34.550693512,45.5998001099,,,,,
density_0_nback_0_id_43,43,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4506912231,30.2498836517,35.1504898071,56.9005393982,,,,,
density_0_nback_0_id_44,44,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4507846832,30.5505027771,34.4501876831,45.1005210876,,,,,
density_0_nback_0_id_45,45,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4498577118,30.9492797852,34.349571228,89.7990951538,,,,,
density_0_nback_0_id_46,46,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.450838089,30.0998783112,33.0498847961,43.3005065918,,,,,
density_0_nback_0_id_47,47,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.3999328613,30.650308609,34.9499168396,48.050201416,,,,,
density_0_nback_0_id_48,48,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4003543854,30.0502052307,34.4004096985,63.3997573853,,,,,
density_0_nback_0_id_49,49,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4496250153,30.899728775,35.4992752075,57.2493972778,,,,,
density_0_nback_0_id_4,4,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.449836731,30.3494987488,33.5498657227,41.7004318237,,,,,
density_0_nback_0_id_50,50,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4498386383,31.8005847931,36.6501464844,51.9501800537,,,,,
density_0_nback_0_id_51,51,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4506378174,30.5504226685,35.2508087158,48.8006668091,,,,,
density_0_nback_0_id_52,52,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4491081238,30.6491603851,33.5492019653,43.9493522644,,,,,
density_0_nback_0_id_53,53,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4490642548,30.1996383667,33.7996482849,48.6991767883,,,,,
density_0_nback_0_id_54,54,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4504299164,30.8504810333,34.2005157471,43.200050354,,,,,
density_0_nback_0_id_55,55,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4500293732,31.0504245758,36.5001487732,45.9500656128,,,,,
density_0_nback_0_id_56,56,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4505233765,30.1008453369,34.9000396729,43.2502059937,,,,,
density_0_nback_0_id_57,57,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4502639771,30.8500270844,33.0500183105,41.9501266479,,,,,
density_0_nback_0_id_5,5,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,29.4498996735,31.3998680115,34.1999778748,35.7499809265,,,,,
density_0_nback_0_id_6,6,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4499454498,31.6499767303,36.7500419617,42.1501617432,,,,,
density_0_nback_0_id_7,7,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4009151459,30.3007507324,34.3508758545,46.2506828308,,,,,
density_0_nback_0_id_8,8,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4497642517,31.0503063202,33.4005775452,53.650592804,,,,,
density_0_nback_0_id_9,9,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4500198364,31.7499485016,35.1502151489,44.2500495911,,,,,
density_0_nback_1_id_10,10,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2493057251,35.9499168396,43.5499000549,63.4492340088,,,,,
density_0_nback_1_id_11,11,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2008247375,35.8000335693,41.1509399414,58.9009590149,,,,,
density_0_nback_1_id_12,12,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1494140625,35.4995117188,39.999458313,62.4999198914,,,,,
density_0_nback_1_id_13,13,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.199546814,35.9995765686,41.7990989685,55.3491973877,,,,,
density_0_nback_1_id_14,14,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2001571655,36.6003036499,39.5503044128,45.25025177,,,,,
density_0_nback_1_id_15,15,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.199962616,36.999786377,42.6002006531,51.5498466492,,,,,
density_0_nback_1_id_16,16,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1993942261,35.5495834351,40.0495223999,55.1501274109,,,,,
density_0_nback_1_id_17,17,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2004699707,35.7005691528,40.0506820679,49.6505622864,,,,,
density_0_nback_1_id_18,18,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2000198364,35.8498535156,40.7002983093,53.4000358582,,,,,
density_0_nback_1_id_19,19,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2001533508,35.7000694275,41.2001686096,52.15076828,,,,,
density_0_nback_1_id_1,1,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1994094849,35.8501243591,45.0000305176,55.1498794556,,,,,
density_0_nback_1_id_20,20,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1999053955,36.0497627258,41.0000267029,59.700378418,,,,,
density_0_nback_1_id_21,21,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2507896423,36.2506561279,40.7501068115,52.4506187439,,,,,
density_0_nback_1_id_22,22,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1999359131,35.8997383118,41.3997459412,46.4996604919,,,,,
density_0_nback_1_id_23,23,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2498550415,37.199760437,41.349811554,49.4996299744,,,,,
density_0_nback_1_id_24,24,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.250125885,37.0492706299,40.1997566223,56.4996757507,,,,,
density_0_nback_1_id_25,25,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2008247375,35.9507980347,40.0499954224,54.7008171082,,,,,
density_0_nback_1_id_26,26,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2500190735,36.2000770569,41.0003356934,48.8000640869,,,,,
density_0_nback_1_id_27,27,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1997756958,36.9000167847,42.0499343872,59.3503570557,,,,,
density_0_nback_1_id_28,28,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1998672485,36.1497268677,39.6500740051,49.9996833801,,,,,
density_0_nback_1_id_29,29,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1999816895,38.4000358582,41.8499450684,52.5507888794,,,,,
density_0_nback_1_id_2,2,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,34.1507377625,35.7000198364,40.45054245,41.1505966187,,,,,
density_0_nback_1_id_30,30,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.149269104,36.0993804932,42.0997047424,55.8995361328,,,,,
density_0_nback_1_id_31,31,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2501792908,36.6503181458,42.3003311157,59.0002326965,,,,,
density_0_nback_1_id_32,32,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1998214722,35.7498970032,39.2498931885,47.3498725891,,,,,
density_0_nback_1_id_33,33,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2500305176,35.4500656128,42.5000724792,50.3996887207,,,,,
density_0_nback_1_id_34,34,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1994819641,35.749458313,39.4494934082,53.6497879028,,,,,
density_0_nback_1_id_35,35,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2003173828,36.9006309509,41.050201416,52.2500495911,,,,,
density_0_nback_1_id_36,36,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2502593994,36.1502952576,42.2501831055,60.4501571655,,,,,
density_0_nback_1_id_37,37,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2006187439,37.4002876282,43.7501564026,64.6998443604,,,,,
density_0_nback_1_id_38,38,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1990203857,36.349281311,42.2496681213,53.3493156433,,,,,
density_0_nback_1_id_39,39,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2003326416,35.5998878479,41.3001289368,49.6001777649,,,,,
density_0_nback_1_id_3,3,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1989974976,36.4500350952,41.099861145,48.7999954224,,,,,
density_0_nback_1_id_40,40,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2001571655,35.849697113,42.3994598389,73.4998703003,,,,,
density_0_nback_1_id_41,41,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.200756073,38.6500930786,43.0006752014,76.4999542236,,,,,
density_0_nback_1_id_42,42,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2000999451,36.7503509521,41.8506126404,53.9001541138,,,,,
density_0_nback_1_id_43,43,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1995582581,37.3495559692,42.1995925903,63.2496070862,,,,,
density_0_nback_1_id_44,44,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2003211975,35.6505088806,41.150554657,54.7501487732,,,,,
density_0_nback_1_id_45,45,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2007217407,35.0500564575,42.3501281738,50.5500526428,,,,,
density_0_nback_1_id_46,46,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2001571655,36.1000785828,42.0502929688,55.0502700806,,,,,
density_0_nback_1_id_47,47,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.200302124,36.500289917,39.9502830505,57.3003616333,,,,,
density_0_nback_1_id_48,48,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1504135132,36.2003974915,48.5500869751,66.550239563,,,,,
density_0_nback_1_id_49,49,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1999282837,36.7999038696,42.4998512268,78.9998855591,,,,,
density_0_nback_1_id_4,4,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1995201111,37.2995643616,41.1491508484,49.5995483398,,,,,
density_0_nback_1_id_50,50,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1997947693,36.8997154236,43.7498092651,60.2499275208,,,,,
density_0_nback_1_id_51,51,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1993293762,36.0993461609,43.0002174377,54.6494140625,,,,,
density_0_nback_1_id_52,52,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2490653992,36.600025177,44.7491226196,66.4999389648,,,,,
density_0_nback_1_id_53,53,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1498222351,35.8503456116,39.8996315002,50.6503448486,,,,,
density_0_nback_1_id_54,54,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2505226135,36.050163269,43.0003547668,51.900177002,,,,,
density_0_nback_1_id_55,55,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1993598938,37.2493057251,44.6492080688,62.2993011475,,,,,
density_0_nback_1_id_56,56,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1994018555,35.6995353699,40.9999351501,52.249256134,,,,,
density_0_nback_1_id_57,57,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2000465393,36.9502029419,40.2500991821,56.1502342224,,,,,
density_0_nback_1_id_5,5,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1992645264,36.5993156433,41.7497711182,54.5498008728,,,,,
density_0_nback_1_id_6,6,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1993103027,37.3001098633,43.7001075745,56.3001213074,,,,,
density_0_nback_1_id_7,7,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.1997146606,37.100402832,41.5503845215,55.4003067017,,,,,
density_0_nback_1_id_8,8,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2006416321,36.0007667542,39.0498657227,58.2508926392,,,,,
density_0_nback_1_id_9,9,0,1,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,34.2001113892,35.8999900818,41.5500793457,51.9004173279,,,,,
density_0_nback_2_id_10,10,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7995815277,34.0494766235,39.3995361328,54.7506217957,,,,,
density_0_nback_2_id_11,11,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8001747131,33.1502952576,37.1000175476,52.050163269,,,,,
density_0_nback_2_id_12,12,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7492523193,32.4492111206,36.699306488,45.5492744446,,,,,
density_0_nback_2_id_13,13,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7993583679,33.699256897,37.6493377686,46.8494987488,,,,,
density_0_nback_2_id_14,14,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7500171661,32.5009155273,35.1001853943,39.7501945496,,,,,
density_0_nback_2_id_15,15,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8005638123,32.5001525879,38.0500526428,48.0500869751,,,,,
density_0_nback_2_id_16,16,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8001308441,33.0000953674,37.6000442505,50.0508804321,,,,,
density_0_nback_2_id_17,17,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8001346588,33.5002365112,36.6501617432,44.5003395081,,,,,
density_0_nback_2_id_18,18,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8001861572,32.7999458313,36.65001297,46.2497444153,,,,,
density_0_nback_2_id_19,19,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,31.7500152588,33.5005683899,37.4498901367,46.9501075745,,,,,
density_0_nback_2_id_1,1,0,2,True,False,False,False,False,False,UNKNOWN,MISSING_TOR_COLUMN,VALIDATED,SINGLE,,30.9499511719,36.5991134644,49.0499191284,MISSING_TOR_COLUMN,MISSING_TOR_COLUMN,no TOR anchor (MISSING_TOR_COLUMN),no TOR anchor (MISSING_TOR_COLUMN),no TOR anchor (MISSING_TOR_COLUMN)
density_0_nback_2_id_20,20,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7494239807,33.6494560242,36.8994865417,64.5995864868,,,,,
density_0_nback_2_id_21,21,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7500324249,33.0500526428,36.5498809814,47.3500175476,,,,,
density_0_nback_2_id_22,22,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7495994568,33.7994766235,37.299785614,42.1494483948,,,,,
density_0_nback_2_id_23,23,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7500705719,34.0000953674,37.3997650146,43.550075531,,,,,
density_0_nback_2_id_24,24,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7501678467,33.5007781982,36.3501853943,51.0002174377,,,,,
density_0_nback_2_id_25,25,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7499465942,32.7999305725,36.2497215271,45.6498184204,,,,,
density_0_nback_2_id_26,26,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.800151825,33.4000167847,37.3003044128,42.9006271362,,,,,
density_0_nback_2_id_27,27,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7499504089,33.4998245239,37.4495048523,45.4502563477,,,,,
density_0_nback_2_id_28,28,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7500476837,33.4504966736,35.4501647949,45.0506095886,,,,,
density_0_nback_2_id_29,29,0,2,True,True,True,True,False,True,UNKNOWN,SINGLE,VALIDATED,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,31.7497844696,34.8006858826,39.9497909546,36.3497390747,,,,lane change at or after handback,
density_0_nback_2_id_2,2,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7504806519,33.7009391785,37.5504341125,48.549987793,,,,,
density_0_nback_2_id_30,30,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7491226196,33.449131012,37.8996925354,47.1992607117,,,,,
density_0_nback_2_id_31,31,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8001327515,33.000289917,38.0502510071,49.3501625061,,,,,
density_0_nback_2_id_32,32,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8007316589,33.2009277344,36.1005744934,42.9004936218,,,,,
density_0_nback_2_id_33,33,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7504024506,33.050327301,36.5002059937,48.5503158569,,,,,
density_0_nback_2_id_34,34,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.8000926971,33.4505577087,36.3005599976,46.5004272461,,,,,
density_0_nback_2_id_35,35,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.750535965,33.7001571655,37.1003036499,47.1008338928,,,,,
density_0_nback_2_id_36,36,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.7500743866,34.1503410339,37.2500953674,55.8501663208,,,,,
density_0_nback_2_id_37,37,0,2,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,31.800201416,34.4504699707,38.550151825,49.6001586914,,,,,
