v0,tor_lead_time,x_hazard,policy,a_coast,t_buildup,stopping_margin,collision,impact_speed,ttc_min,x_stop_full
30.0,1.8,54.0,W1,0.0,0.4,-37.89951015807284,True,25.38290118736384,0.0,91.89951015807284
30.0,1.8,54.0,W0,1.0,0.4,-37.89951015807284,True,25.38290118736384,0.0,91.89951015807284
30.0,1.8,54.0,W1,1.0,0.4,-33.62842192277468,True,23.909896961036544,0.0,87.62842192277468
30.0,1.8,54.0,W0,2.0,0.4,-37.89951015807284,True,25.38290118736384,0.0,91.89951015807284
30.0,1.8,54.0,W1,2.0,0.4,-29.47498074631396,True,22.384697288271052,0.0,83.47498074631396
30.0,1.8,54.0,W0,3.0,0.4,-37.89951015807284,True,25.38290118736384,0.0,91.89951015807284
30.0,1.8,54.0,W1,3.0,0.4,-25.439186628663265,True,20.795821039031956,0.0,79.43918662866326
30.0,1.8,54.0,W0,4.0,0.4,-37.89951015807284,True,25.38290118736384,0.0,91.89951015807284
30.0,1.8,54.0,W1,4.0,0.4,-21.521039569836304,True,19.127406324103728,0.0,75.5210395698363
30.0,1.8,54.0,W0,0.0,0.5,-39.367635158073384,True,25.86986273035663,0.0,93.36763515807338
30.0,1.8,54.0,W1,0.0,0.5,-39.367635158073384,True,25.86986273035663,0.0,93.36763515807338
30.0,1.8,54.0,W0,1.0,0.5,-39.367635158073384,True,25.86986273035663,0.0,93.36763515807338
30.0,1.8,54.0,W1,1.0,0.5,-35.04654692277522,True,24.40883646730015,0.0,89.04654692277522
30.0,1.8,54.0,W0,2.0,0.5,-39.367635158073384,True,25.86986273035663,0.0,93.36763515807338
30.0,1.8,54.0,W1,2.0,0.5,-30.843105746314677,True,22.898314297946676,0.0,84.84310574631468
30.0,1.8,54.0,W0,3.0,0.5,-39.367635158073384,True,25.86986273035663,0.0,93.36763515807338
30.0,1.8,54.0,W1,3.0,0.5,-26.757311628663786,True,21.3277822965132,0.0,80.75731162866379
30.0,1.8,54.0,W0,4.0,0.5,-39.367635158073384,True,25.86986273035663,0.0,93.36763515807338
30.0,1.8,54.0,W1,4.0,0.5,-22.789164569836856,True,19.682880827952488,0.0,76.78916456983686
30.0,1.8,54.0,W0,0.0,0.6,-40.828676824740654,True,26.345540533852123,0.0,94.82867682474065
30.0,1.8,54.0,W1,0.0,0.6,-40.828676824740654,True,26.345540533852123,0.0,94.82867682474065
30.0,1.8,54.0,W0,1.0,0.6,-40.828676824740654,True,26.345540533852123,0.0,94.82867682474065
30.0,1.8,54.0,W1,1.0,0.6,-36.45758858944224,True,24.895361134571807,0.0,90.45758858944224
30.0,1.8,54.0,W0,2.0,0.6,-40.828676824740654,True,26.345540533852123,0.0,94.82867682474065
30.0,1.8,54.0,W1,2.0,0.6,-32.20414741298177,True,23.398087657347073,0.0,86.20414741298177
30.0,1.8,54.0,W0,3.0,0.6,-40.828676824740654,True,26.345540533852123,0.0,94.82867682474065
30.0,1.8,54.0,W1,3.0,0.6,-28.068353295331022,True,21.844038226042603,0.0,82.06835329533102
30.0,1.8,54.0,W0,4.0,0.6,-40.828676824740654,True,26.345540533852123,0.0,94.82867682474065
30.0,1.8,54.0,W1,4.0,0.6,-24.050206236503882,True,20.220126261245888,0.0,78.05020623650388
30.0,1.8,54.0,W0,0.0,0.7,-42.28263515807471,True,26.81053519957278,0.0,96.28263515807471
30.0,1.8,54.0,W1,0.0,0.7,-42.28263515807471,True,26.81053519957278,0.0,96.28263515807471
30.0,1.8,54.0,W0,1.0,0.7,-42.28263515807471,True,26.81053519957278,0.0,96.28263515807471
30.0,1.8,54.0,W1,1.0,0.7,-37.8615469227761,True,25.37018521192605,0.0,91.8615469227761
30.0,1.8,54.0,W0,2.0,0.7,-42.28263515807471,True,26.81053519957278,0.0,96.28263515807471
30.0,1.8,54.0,W1,2.0,0.7,-33.558105746315704,True,23.884886386323494,0.0,87.5581057463157
30.0,1.8,54.0,W0,3.0,0.7,-42.28263515807471,True,26.81053519957278,0.0,96.28263515807471
30.0,1.8,54.0,W1,3.0,0.7,-29.372311628664875,True,22.34567738260568,0.0,83.37231162866487
30.0,1.8,54.0,W0,4.0,0.7,-42.28263515807471,True,26.81053519957278,0.0,96.28263515807471
30.0,1.8,54.0,W1,4.0,0.7,-25.304164569837596,True,20.740559242397666,0.0,79.3041645698376
30.0,2.0,60.0,W0,0.0,0.0,-25.941176470570483,True,20.999999999996895,0.0,85.94117647057048
30.0,2.0,60.0,W1,0.0,0.0,-25.941176470570483,True,20.999999999996895,0.0,85.94117647057048
30.0,2.0,60.0,W0,1.0,0.0,-25.941176470570483,True,20.999999999996895,0.0,85.94117647057048
30.0,2.0,60.0,W1,1.0,0.0,-21.870588235272564,True,19.282116066443024,0.0,81.87058823527256
30.0,2.0,60.0,W0,2.0,0.0,-25.941176470570483,True,20.999999999996895,0.0,85.94117647057048
30.0,2.0,60.0,W1,2.0,0.0,-17.91764705881144,True,17.452793472677026,0.0,77.91764705881144
30.0,2.0,60.0,W0,3.0,0.0,-25.941176470570483,True,20.999999999996895,0.0,85.94117647057048
30.0,2.0,60.0,W1,3.0,0.0,-14.082352941161233,True,15.472556349868013,0.0,74.08235294116123
30.0,2.0,60.0,W0,4.0,0.0,-25.941176470570483,True,20.999999999996895,0.0,85.94117647057048
30.0,2.0,60.0,W1,4.0,0.0,-10.36470588233459,True,13.274034804827659,0.0,70.36470588233459
30.0,2.0,60.0,W0,0.0,0.1,-27.45263515807109,True,21.603120091491157,0.0,87.45263515807109
30.0,2.0,60.0,W1,0.0,0.1,-27.45263515807109,True,21.603120091491157,0.0,87.45263515807109
30.0,2.0,60.0,W0,1.0,0.1,-27.45263515807109,True,21.603120091491157,0.0,87.45263515807109
30.0,2.0,60.0,W1,1.0,0.1,-23.331546922773086,True,19.915729905963733,0.0,83.33154692277309
30.0,2.0,60.0,W0,2.0,0.1,-27.45263515807109,True,21.603120091491157,0.0,87.45263515807109
30.0,2.0,60.0,W1,2.0,0.1,-19.328105746312076,True,18.126715027479104,0.0,79.32810574631208
30.0,2.0,60.0,W0,3.0,0.1,-27.45263515807109,True,21.603120091491157,0.0,87.45263515807109
30.0,2.0,60.0,W1,3.0,0.1,-15.442311628661628,True,16.202447274635862,0.0,75.44231162866163
30.0,2.0,60.0,W0,4.0,0.1,-27.45263515807109,True,21.603120091491157,0.0,87.45263515807109
30.0,2.0,60.0,W1,4.0,0.1,-11.674164569834886,True,14.087611496889247,0.0,71.67416456983489
30.0,2.0,60.0,W0,0.0,0.2,-28.942010158071724,True,22.181392487565077,0.0,88.94201015807172
30.0,2.0,60.0,W1,0.0,0.2,-28.942010158071724,True,22.181392487565077,0.0,88.94201015807172
30.0,2.0,60.0,W0,1.0,0.2,-28.942010158071724,True,22.181392487565077,0.0,88.94201015807172
30.0,2.0,60.0,W1,1.0,0.2,-24.77092192277361,True,20.520859452939987,0.0,84.77092192277361
30.0,2.0,60.0,W0,2.0,0.2,-28.942010158071724,True,22.181392487565077,0.0,88.94201015807172
30.0,2.0,60.0,W1,2.0,0.2,-20.717480746312688,True,18.76691697342579,0.0,80.71748074631269
30.0,2.0,60.0,W0,3.0,0.2,-28.942010158071724,True,22.181392487565077,0.0,88.94201015807172
30.0,2.0,60.0,W1,3.0,0.2,-16.78168662866223,True,16.89049059936903,0.0,76.78168662866223
30.0,2.0,60.0,W0,4.0,0.2,-28.942010158071724,True,22.181392487565077,0.0,88.94201015807172
30.0,2.0,60.0,W1,4.0,0.2,-12.963539569835348,True,14.8452070611123,0.0,72.96353956983535
30.0,2.0,60.0,W0,0.0,0.3,-30.42430182473892,True,22.742320264668663,0.0,90.42430182473892
30.0,2.0,60.0,W1,0.0,0.3,-30.42430182473892,True,22.742320264668663,0.0,90.42430182473892
30.0,2.0,60.0,W0,1.0,0.3,-30.42430182473892,True,22.742320264668663,0.0,90.42430182473892
30.0,2.0,60.0,W1,1.0,0.3,-26.203213589440722,True,21.10579614751989,0.0,86.20321358944072
30.0,2.0,60.0,W0,2.0,0.3,-30.42430182473892,True,22.742320264668663,0.0,90.42430182473892
30.0,2.0,60.0,W1,2.0,0.3,-22.09977241297993,True,19.38288242292171,0.0,82.09977241297993
30.0,2.0,60.0,W0,3.0,0.3,-30.42430182473892,True,22.742320264668663,0.0,90.42430182473892
30.0,2.0,60.0,W1,3.0,0.3,-18.11397829532943,True,17.54815178361312,0.0,78.11397829532943
