trial_id,participant_id,cell,t_tor,t_ms,t_handback,t_lane_change,t_button_s,state_values,brake_active_pre_tor,brake_onset_tor_ms_rel_tor_s,brake_onset_after_ms_rel_ms_s,brake_active_at_ms,brake_peak_tor_ms,brake_peak_post_ms,brake_max_value_trial,brake_straddle_release_rel_ms_s,brake_straddle_release_rel_tor_s,brake_max_step_near_ms,brake_clean_onset_rel_ms_s,brake_decel_coupling_tor_ms,brake_decel_coupling_post_ms,ax_mean_tor_ms,accel_mean_pre_tor,accel_active_at_ms,accel_straddle_drop_rel_ms_s,accel_release_rel_tor_s,accel_mean_tor_ms,accel_onset_after_ms_rel_ms_s,accel_mean_manual,accel_mean_after_handback,steer_mean_pre_tor,steer_std_pre_tor,steer_mean_tor_ms,steer_std_tor_ms,steer_onset_after_ms_rel_ms_s,steer_onset_to_lane_crossing_s,steer_moved_tor_ms,torque_mean_pre_tor,torque_std_pre_tor,torque_mean_tor_ms,torque_std_tor_ms,torque_std_manual,torque_mean_after_handback,steer_mean_after_handback,indicator_left_onset_rel_ms_s,indicator_left_before_ms,indicator_before_lane_crossing,hazard_station_sd_m,hazard_station_sd_minus_m,d_construction_rate_per_abscissa,d_construction_at_tor_m,d_follow_zero_fraction,d_follow_missing_fraction,d_follow_min_nonzero,d_follow_value_before_zero_median,d_follow_n_negative,d_lead_next_zero_fraction,d_lead_next_missing_fraction,d_lead_next_min_nonzero,d_lead_next_value_before_zero_median,d_lead_next_n_negative,d_follow_next_zero_fraction,d_follow_next_missing_fraction,d_follow_next_min_nonzero,d_follow_next_value_before_zero_median,d_follow_next_n_negative
density_10_nback_2_id_27,27,d10_n2,26.9500846863,28.7001342773,57.7504615784,31.4002857208,1.7500495909999998,2.0,False,1.199915409067433,0.04986572270000167,True,22.8111896515,64.9433898926,91.3938980103,0.8498656750162858,2.5999152660162856,1.3182106018000006,4.9998657703837175,0.9998046352864697,0.7738799048548595,-0.7737538269585715,0.09764469004432105,False,,0.04991531370000146,0.0,7.949865818067433,0.0928839038766651,0.21357388020256532,0.06753557342055921,6.858064530113842e-05,0.058183654610594285,0.005355037763605086,0.7498657703837175,1.9502856731162836,False,-0.32672969604792107,0.0013721035450547678,-0.28150680788928567,0.028405548564657303,0.3058937116300153,0.43619403094058334,-0.15097336471077336,,False,,82.25711163053765,0.2160476086349533,1.0037151529014783,176.401611328,0.44855031267765777,0.0022740193291642978,61.6834716797,65.2364501953,0,0.09096077316657192,0.0022740193291642978,0.210082992911,13.2399902344,0,0.129619101762365,0.0022740193291642978,0.0502929985523,112.30963134769999,0
density_10_nback_2_id_28,28,d10_n2,26.8996696472,28.0004711151,43.8504486084,34.5996208191,1.100801467900002,2.0,False,,0.4495289325837142,False,13.5947961807,45.4603729248,86.856338501,,,0.6725826263000005,0.4495289325837142,0.9992864655604834,0.7928936002672187,-0.5837211168332174,0.10078096379964607,False,,0.0003304481674319959,0.0,5.5495288372162825,0.15517913202827274,0.007001274257587499,0.06753484365578948,8.386130419955406e-05,0.06240628627332609,0.003278273512938394,0.89952898026743,5.699620723732565,False,-0.3263770455592764,0.001633076417157793,-0.30369205708095653,0.017172560647162046,0.36844709868221,0.016495853895336168,-0.003359233428909168,4.199528932583714,False,True,73.87203430731306,0.20395184440517738,1.0047742644385325,176.18762207,0.4665766374071573,0.0027008777852802163,81.3825683594,81.3825683594,0,0.09453072248480757,0.0027008777852802163,0.00701900012791,16.3623046875,0,0.11276164753544902,0.0027008777852802163,0.270812988281,116.191650391,0
density_10_nback_2_id_29,29,d10_n2,26.9506282806,28.9506225586,43.7501983643,31.9506950378,1.999994277999999,2.0,False,1.1993718147674315,0.04937744140000078,True,25.2900028229,300.151062012,300.151062012,0.9993774890837166,2.9993717670837157,0.9039993286000012,3.149377346032569,0.9998613452860151,0.9698043896051145,-0.853788910061,0.09889503877217527,False,,0.04937171939999985,0.0,4.599377393716285,0.07164693536650135,0.43465801707545554,0.06754394993186053,7.859365184774882e-05,0.05690360264852501,0.006075209434800661,0.599377393716285,2.400695085483715,False,-0.32650817224851314,0.0014735194314371579,-0.2746644981205,0.03283239085591267,0.17641587358129265,-0.024942555856713833,0.012010916632913836,,False,,85.70004722688053,0.22226430251743115,1.004017503205113,175.900024414,0.43504736129905275,0.0027063599458728013,51.6520996094,65.4798583984,0,0.13125845737483086,0.0027063599458728013,0.199462994933,12.2641601562,0,0.15764546684709066,0.0027063599458728013,0.0610349997878,100.08807373030001,0
density_10_nback_2_id_2,2,d10_n2,26.9500465393,28.8500213623,39.9493522644,33.2500076294,1.8999748230000009,2.0,False,1.199953556067431,0.04997873306743017,True,23.7621822357,90.6141815186,90.6141815186,2.8999786376999985,4.799953460699999,2.5926990508999985,,0.9998562927748661,0.9607992827035222,-0.8303277649372106,0.09942390327340238,False,,0.0499534606999994,0.0,0.7999787330674302,0.24714605667905562,0.0,0.06753720745052237,8.05563998619245e-05,0.057401375649010516,0.005792280656643387,1.9999785423325669,2.400007724767434,False,-0.3263945057987895,0.0017434049262372985,-0.2767713042466316,0.030817129976628655,0.38585645248876566,-0.002955618050716666,0.0051880808663688355,0.8499786853837143,False,True,84.30095929440616,0.21844529108642263,1.0038433367651531,175.250854492,0.42653352353780316,0.0028530670470756064,34.0270996094,65.5089111328,0,0.09771754636233952,0.0028530670470756064,0.220214992762,24.9254150391,0,0.11982881597717546,0.0028530670470756064,0.0710449963808,93.6937255861,0
density_10_nback_2_id_30,30,d10_n2,26.8999843597,28.6995658875,50.2998390198,34.2994346619,1.799581527800001,2.0,False,1.2500157356674322,0.0004341601837154485,True,21.7194786072,88.0506286621,88.0506286621,0.900434017132568,2.700015544932569,0.980274200500002,1.900434017132568,0.9997384462613886,0.8406137271793805,-0.7561679159599722,0.10104901206337763,False,,1.57356674321818e-05,0.0,1.900434017132568,0.18871979646169412,0.15495361201467522,0.06753950252344737,8.678634028787983e-05,0.05893850233406945,0.0054248665976638815,3.5504341124999996,2.0494346619000012,False,-0.32615639818339476,0.0015418994189196193,-0.28547155981258343,0.028546429277864223,0.2362325656899187,0.2847231875484333,-0.091862631030365,1.0504341124999996,False,True,82.99099992526708,0.1990916020767318,1.004507273308147,176.484130859,0.49006211180124226,0.002484472049689441,76.3237304688,76.3237304688,0,0.10372670807453416,0.002484472049689441,0.244202002883,19.5069580078,0,0.1093167701863354,0.002484472049689441,0.0438230000436,113.928955078,0
density_10_nback_2_id_31,31,d10_n2,26.9003314972,28.3508014679,47.3503646851,34.1001930237,1.4504699706999986,2.0,False,1.2496685981674318,0.0491986274674332,True,18.1828556061,55.0309753418,92.6135406494,3.4491984844162857,4.899668455116284,0.7356853484999988,,0.9997714657411151,0.957411265060047,-0.6896473724265517,0.10055296439188553,False,,0.04966855048371599,0.0,4.199198484416286,0.23845866296490348,0.0,0.0675329543454079,7.633945952485433e-05,0.06030208707368966,0.004392743356845865,2.6491985321000016,3.100193023700001,False,-0.32619272799869736,0.0015739032079365408,-0.2928024766774139,0.02290779334761246,0.1859012680833003,0.069912273778235,-0.019142611491645832,1.5491986274674332,False,True,78.07390976575674,0.19133437749431617,1.0049076767207157,176.026489258,0.4796905222437137,0.0025789813023855577,69.6633300781,69.6633300781,0,0.10122501611863315,0.0025789813023855577,0.0603029988706,26.5593261719,0,0.11927788523533205,0.0025789813023855577,0.167052999139,109.856811523,0
density_10_nback_2_id_32,32,d10_n2,26.9500541687,28.450466156,43.8004760742,31.5996551514,1.5004119873000015,2.0,False,1.1999459266674322,0.04953384399999905,True,19.2845401764,165.469985962,341.699188232,0.8495337963162832,2.3499457836162847,0.8024730682999994,1.9495339393674307,0.999706493833806,0.908164510517582,-0.7175709595285333,0.09766743502479605,False,,0.04994583130000052,0.0,3.4495339393674307,0.31161261455953637,0.19310114552884633,0.06753636514278027,7.396343625314698e-05,0.059506967912116654,0.00460109603630849,0.9995338916837149,2.1496551037162845,False,-0.3262666001131842,0.0013740211376572062,-0.2884973049163334,0.023878028565744412,0.33026002798046455,0.17740373654928826,-0.037262886747088664,,False,,78.75332343772305,0.1863664803315998,1.0049684985604952,175.27734375,0.05,0.002702702702702703,21.2067871094,88.0386962891,0,0.22432432432432434,0.002702702702702703,0.0930180028081,42.7803955078,0,0.23783783783783785,0.002702702702702703,0.0579219982028,139.77746582,0
density_10_nback_2_id_33,33,d10_n2,26.950296402,28.6502971649,45.3002052307,33.7501182556,1.7000007629000002,2.0,False,1.1997036933674323,0.04970288278371626,True,21.6962985992,99.3302688599,99.3302688599,0.8497028351000004,2.5497035980000007,1.2189998626999987,1.9497027397325688,0.9997553097352424,0.9257805190255922,-0.7778020474839705,0.09880023164137236,False,,0.04970359800000068,0.0,4.149702787416285,0.17895979544153312,0.04719878582593517,0.0675367767873579,8.378944143457338e-05,0.058461135253311765,0.0052044270678042286,5.449702739732569,-0.349881649032568,False,-0.32650576296607897,0.0015416464922122443,-0.2829477116465588,0.027678534226799518,0.19688805451011668,0.003594922615859039,-0.0033720908220533337,1.8997027874162846,False,True,81.5444330243354,0.2121346204999724,1.004842304610739,175.765136719,0.47448641484426773,0.0026507620941020544,78.4564208984,78.4564208984,0,0.08548707753479125,0.0026507620941020544,0.133239999413,17.529296875,0,0.1219350563286945,0.0026507620941020544,0.125,118.74041748,0
density_10_nback_2_id_34,34,d10_n2,26.9494915009,28.5499858856,47.6997718811,34.0995826721,1.6004943847000028,2.0,False,1.2005085944674327,1.4066716282457037e-05,True,19.8940429688,203.939178467,203.939178467,0.9000141620837141,2.500508546783717,1.2781276703000017,1.900014162083714,0.9989389681030514,0.8296161490481975,-0.70747033879175,0.09842662331896579,False,,0.0005085467837169233,0.0,4.700014114399998,0.44275522642596615,0.0,0.06753255279832762,7.473026517811258e-05,0.05958813452161875,0.004851313544266723,3.35001420976743,2.199582576732567,False,-0.326596575348,0.0012668189997792764,-0.28928732965140624,0.02551382513821463,0.25310325866502037,1.1609288864461185,-0.18234393719277195,,False,,80.1911004841304,0.2133301922069997,1.0047908179337477,175.788696289,0.043645699614890884,0.0025673940949935813,32.2072753906,77.9766845703,0,0.3902439024390244,0.0025673940949935813,0.124877996743,16.434020802385,0,0.15725288831835688,0.0025673940949935813,0.0969239994884,102.269042969,0
density_10_nback_2_id_35,35,d10_n2,26.9498710632,29.8005867004,42.0505371094,33.1504249573,2.8507156372000004,2.0,False,1.2001290321674318,0.04941320423256812,True,33.432762146,101.363021851,101.363021851,0.9994132519162839,3.8501288891162844,19.452861785900005,,0.9999122843809128,0.91200100532724,-1.043608603806276,0.09992664106388027,False,,0.00012898448371601035,0.0,0.7494132519162839,0.19114876019696264,0.030103421723468835,0.06753632289014079,6.917293537654553e-05,0.052877572911050004,0.008510289899929345,1.0494132042325681,2.3004250526674284,False,-0.3264750818673027,0.0015257486194695906,-0.25130359340334485,0.04766978658032833,0.2707743065219256,-1.3304298611953895,0.031577978547024994,0.7494132519162839,False,True,97.82166599174425,0.21825875717807303,1.0045765995926448,175.275146484,0.4532871972318339,0.002768166089965398,81.0299072266,81.0299072266,0,0.09134948096885813,0.002768166089965398,0.153687000275,17.6495361328,0,0.1342560553633218,0.002768166089965398,0.109802000225,127.272705078,0
density_10_nback_2_id_36,36,d10_n2,26.900800705,28.8505134583,50.3002662659,34.3505783081,1.9497127532999983,2.0,False,1.2491993903674299,0.049486637067431616,True,24.0528450012,225.912506104,225.912506104,0.9494864940162842,2.8991992473162824,0.8737354277999998,1.4994864463325683,0.9997179771441042,0.9210671548860543,-0.8146129907700769,0.09996171594645527,False,,0.049199342683714065,0.0,4.599486589383716,0.29036895413154806,0.01580102442724967,0.06754282214924079,8.637270308210307e-05,0.05766018212605642,0.005904326184421528,3.5494866370674316,1.950578212732566,False,-0.3262115493416843,0.0014486614011760307,-0.2784951080878461,0.03181684241634999,0.20177955992985044,0.282895773851035,-0.09034954820526618,,False,,85.03438774035253,0.2227380440373657,1.0050063313690298,176.225463867,0.4860161591050342,0.002486016159105034,73.3157958984,73.3157958984,0,0.09571162212554382,0.002486016159105034,0.108520999551,25.6573486328,0,0.11000621504039776,0.002486016159105034,0.322753995657,108.146606445,0
density_10_nback_2_id_37,37,d10_n2,26.9495677948,28.749797821,51.2499847412,37.0998344421,1.8002300262000013,2.0,False,1.2504322528837157,0.00020217899999863675,True,21.4710445404,268.638427734,268.638427734,0.9502022266837145,2.7504322528837157,1.1778621674000007,3.6502022743674303,0.9990870986660287,0.9153070370643686,-0.7587570399043333,0.09918792393847894,False,,0.00043225288371573356,0.0,0.20020222668371446,0.2621924570108373,0.041925747475272335,0.06753149403161185,6.80615271728022e-05,0.05879844652695554,0.005434743756956734,5.050202131316283,3.299834489783713,False,-0.32623589078064474,0.0015965039683142,-0.28481016556419453,0.028942049950781666,0.27123036100278264,0.10012775777528,-0.02099204086697333,1.6502022743674303,False,True,82.97442320015585,0.20971747657935194,1.0054807152922096,176.048706055,0.4176904176904177,0.002457002457002457,17.7795410156,37.7145996094,0,0.1167076167076167,0.002457002457002457,0.130126997828,57.2164306641,0,0.1339066339066339,0.002457002457002457,0.128784000874,57.3873291016,0
density_10_nback_2_id_38,38,d10_n2,26.8994007111,29.0494232178,47.399307251,34.0999679565,2.150022506700001,2.0,False,1.2505993842674314,0.0005767345162830395,True,26.1877822876,157.779327393,157.779327393,1.0505766868325672,3.200599193532568,1.1367282867000021,1.1505768298837147,0.9998296493966181,0.9237344909006725,-0.8423241543217443,0.10052359574719474,False,,0.0005993842674314465,0.0,1.1005768775674305,0.21246569684707273,0.4153386511529751,0.06753578301714867,8.756744345311919e-05,0.057122595001783724,0.006433710276125822,2.000576734516283,3.049968004183718,False,-0.32658246551697373,0.0014594454185769047,-0.275397206115186,0.034702636509996755,0.20505565342471535,-0.021401681727801495,0.0016587150846008338,,False,,87.79550159418636,0.21042992527004672,1.0043409756188832,176.121582031,0.45390070921985815,0.0025789813023855577,52.6423339844,52.6423339844,0,0.11927788523533205,0.0025789813023855577,0.219542995095,25.8217773438,0,0.1399097356544165,0.0025789813023855577,0.0531620010734,108.604492188,0
density_10_nback_2_id_39,39,d10_n2,26.9491825104,28.6491584778,61.5992240906,34.4991912842,1.6999759674000003,2.0,False,1.2008175849674316,0.0008416175674312854,True,20.827495575,183.186584473,183.186584473,0.8508415221999996,2.5508174896,0.9722900390999989,1.950841426832568,0.9998727612559257,0.9318385460177152,-0.7545442283153235,0.10016768430599342,False,,0.0008175372837158079,0.0,5.500841617567431,0.2607234143704678,0.006247212085872116,0.06753392360712368,8.29210554282251e-05,0.05896806037601177,0.005155822123587265,3.8508415221999996,1.999191284200002,False,-0.3263239189982895,0.001427306221766447,-0.28558254241932357,0.027354956593759083,0.3043062010059812,0.9576951156062166,-0.1649285021994665,0.10084152219999964,False,True,81.55332871604676,0.21468305951777839,1.0026173155192724,175.452514648,0.4201634877384196,0.0021798365122615805,65.6245117188,65.6245117188,0,0.06975476839237058,0.0021798365122615805,0.105347000062,30.2611083984,0,0.0997275204359673,0.0021798365122615805,0.158142000437,102.622680664,0
density_10_nback_2_id_3,3,d10_n2,26.9498748779,27.2995510101,42.1000061035,35.1497879028,0.34967613219999905,2.0,False,,2.750448942216284,False,3.25552797318,226.522872925,226.522872925,,,0.7685961723400001,2.750448942216284,,0.9226307686083715,-0.401730809893,0.09936003306095526,False,,0.0001251697837147958,0.0,6.650449037583716,0.19989428627183567,0.4362004001004517,0.06754374925634868,7.459514558778658e-05,0.06576879216092858,0.0007747204830753164,1.0504488945325683,6.799787998167432,False,-0.32657606350748686,0.001734636352377912,-0.3212892455715714,0.0044525359292572125,0.18427573742323056,0.09220491776553232,-0.021821906130464,0.10044908526743157,False,True,62.47052458746695,0.18938835955685315,1.0056489973226925,175.300048828,0.36929460580912865,0.0027662517289073307,50.3533935547,59.45892333985,0,0.1798063623789765,0.0027662517289073307,0.236571997404,42.9088134766,0,0.1798063623789765,0.0027662517289073307,0.0235600005835,84.9288330078,0
density_10_nback_2_id_40,40,d10_n2,26.9500045776,27.6495037079,46.8493881226,34.7995605469,0.6994991302999978,2.0,False,,0.5004963874674324,False,7.57798242569,235.068054199,235.068054199,,,1.7643904686000003,0.5004963874674324,0.9884774428972688,0.9131858610641236,-0.46907261243230763,0.09779891387656052,False,,0.049995422399998546,0.0,6.000496387467432,0.23420646605715312,0.39907831735911165,0.06753877491542895,7.678188051049906e-05,0.06429846985982307,0.001658266285900671,3.0504963397837166,4.099560499216281,False,-0.32668547253860525,0.0013979230803848135,-0.31458584849661536,0.008616271380585704,0.32066485848202986,0.002379783241951363,-0.0050520852984125,,False,,66.7557390497905,0.19626982910275195,1.0056785562599848,175.9921875,0.4103896103896104,0.0025974025974025974,17.412109375,64.9151611328,0,0.137012987012987,0.0025974025974025974,0.0509029999375,74.4301757812,0,0.16948051948051948,0.0025974025974025974,0.0101319998503,55.4993286133,0
