steer_speed_thresh_rad_s,brake_force_rate_thresh_N_s,persistence_duration_s,search_start_condition,eligible_trials,settled_rate_pct,t_stable_median_s,t_stable_iqr_s,t_stable_mean_s,t_stable_std_s,near_end_trials_pct
0.05,30.0,1.0,T_first + 2.0 s,498,100.0,17.92534255985,11.94976353650872,17.57270521906793,8.681477362042788,0.0
0.05,30.0,1.5,T_first + 2.0 s,498,100.0,22.25021493435814,7.837623596224997,23.69760481803601,10.388215138179755,0.0
0.05,30.0,2.0,T_first + 2.0 s,498,100.0,23.900206923508144,8.287166237791858,25.741781526299576,10.411800755387103,0.0
0.08,10.0,1.0,T_first + 2.0 s,498,100.0,13.674995541574425,10.887986481220931,15.325014456207224,10.119829369179024,0.0
0.08,10.0,1.5,T_first + 2.0 s,498,100.0,20.57521629335,9.537580072812215,21.258146988817217,10.719311143638382,0.0
0.08,10.0,2.0,T_first + 2.0 s,498,100.0,22.72497141359186,8.512265086158138,24.566379920544126,10.432817322789479,0.0
0.08,20.0,1.0,T_first + 2.0 s,498,100.0,13.625256657574427,10.89988648895814,15.068689155289656,9.38779321893239,0.0
0.08,20.0,1.5,T_first + 2.0 s,498,100.0,20.499816417667432,9.63818281883664,21.151922089506076,10.74587299847477,0.0
0.08,20.0,2.0,T_first + 2.0 s,498,100.0,22.70051074026628,8.34923863413372,24.491379919778122,10.429650690965413,0.0
0.08,30.0,1.0,T_first + 2.0 s,498,100.0,12.950533986074426,10.424438059344782,14.082544579082914,7.7365134517909455,0.0
0.08,30.0,1.5,T_first + 2.0 s,498,100.0,20.125284433383715,9.599731862605221,20.27360883726003,9.053516772778783,0.0
0.08,30.0,2.0,T_first + 2.0 s,498,100.0,22.324940800624425,8.213067710386639,23.816982330565683,9.484939158773157,0.0
0.03,10.0,1.0,T_first + 1.0 s,498,100.0,20.62517118453257,13.749775588461636,19.83635983265855,11.253801126399152,0.0
0.03,10.0,1.5,T_first + 1.0 s,498,99.79919678714859,24.549603939032565,8.699597597183715,26.335325671391974,11.687288977144373,0.2008032128514056
0.03,10.0,2.0,T_first + 1.0 s,498,98.99598393574297,25.5998878479,8.84940958026743,28.00589643385374,11.024789267929824,0.0
0.03,20.0,1.0,T_first + 1.0 s,498,100.0,20.000553011875574,14.087975263591282,18.766480315160766,11.058124993424892,0.0
0.03,20.0,1.5,T_first + 1.0 s,498,99.79919678714859,24.3004798889,8.500497817900001,26.088947402158038,11.888977641538998,0.2008032128514056
0.03,20.0,2.0,T_first + 1.0 s,498,98.99598393574297,25.499650239983715,8.999145507799998,27.91431428452609,11.027172961266439,0.0
0.03,30.0,1.0,T_first + 1.0 s,498,100.0,19.424796104450003,14.32488435507035,17.732845777008155,10.200321082899245,0.0
0.03,30.0,1.5,T_first + 1.0 s,498,99.79919678714859,24.100044250499998,8.648611545567434,25.225969533803504,11.195214749393237,0.2008032128514056
0.03,30.0,2.0,T_first + 1.0 s,498,99.19678714859438,25.40015637870814,8.987523496145357,27.39475093582698,10.56128558907601,0.0
0.05,10.0,1.0,T_first + 1.0 s,498,100.0,17.32491719725814,12.987156391142433,17.14057670108594,10.859722534840943,0.0
0.05,10.0,1.5,T_first + 1.0 s,498,100.0,22.275035858149998,7.700121998824425,23.911259436222654,11.48213576133151,0.0
0.05,10.0,2.0,T_first + 1.0 s,498,100.0,24.149892568566287,8.375745773299997,26.2251148582924,11.133491922011522,0.0
0.05,20.0,1.0,T_first + 1.0 s,498,100.0,16.67489397529186,13.28742927312035,16.16457268463868,10.49853600681747,0.0
0.05,20.0,1.5,T_first + 1.0 s,498,100.0,22.17506444450814,7.886869430525,23.578026504878746,11.674475680641008,0.0
0.05,20.0,2.0,T_first + 1.0 s,498,100.0,24.024767518041855,8.387607395595925,26.142183131959275,11.13749941671844,0.0
0.05,30.0,1.0,T_first + 1.0 s,498,100.0,15.575336575524426,13.886739015566285,15.044492364406794,9.65543281034902,0.0
0.05,30.0,1.5,T_first + 1.0 s,498,100.0,21.974621772749998,7.674463748974997,22.628026504591496,10.875763575976832,0.0
0.05,30.0,2.0,T_first + 1.0 s,498,100.0,23.875099897366283,8.375416457704073,25.46216305240399,10.367477283634544,0.0
0.08,10.0,1.0,T_first + 1.0 s,498,100.0,12.600844979241858,11.66155707840814,14.105938149741585,10.11810727042607,0.0
0.08,10.0,1.5,T_first + 1.0 s,498,100.0,20.050443053258142,10.175035953517433,20.319592771758245,10.566122065623798,0.0
0.08,10.0,2.0,T_first + 1.0 s,498,100.0,22.57462882995,8.34923863413372,24.204231326358116,10.391436178331318,0.0
0.08,20.0,1.0,T_first + 1.0 s,498,100.0,12.12537574765,11.687092781067433,13.222504414227323,9.50808797131835,0.0
0.08,20.0,1.5,T_first + 1.0 s,498,100.0,19.92559683324186,10.187087535899998,20.011058635499314,10.687131740344524,0.0
0.08,20.0,2.0,T_first + 1.0 s,498,100.0,22.525199174883717,8.22493964436336,24.104331727007036,10.423564079484473,0.0
0.08,30.0,1.0,T_first + 1.0 s,498,100.0,11.225328683833716,12.400674104658716,11.96296626161688,8.223811353367394,0.0
0.08,30.0,1.5,T_first + 1.0 s,498,100.0,19.4753904343,10.936215579554071,18.9305365473374,9.334540163241133,0.0
0.08,30.0,2.0,T_first + 1.0 s,498,100.0,22.199692010883716,8.23733991385292,23.29670120625919,9.601050912582071,0.0
0.03,10.0,1.0,T_first + 3.0 s,498,100.0,21.399569273016283,11.438056707383714,21.633849795083172,10.814222489639988,0.0
0.03,10.0,1.5,T_first + 3.0 s,498,99.79919678714859,24.600775957083712,8.60122632983257,26.809269333747576,11.576499598487576,0.2008032128514056
0.03,10.0,2.0,T_first + 3.0 s,498,98.99598393574297,25.6496181488,8.800580978400003,28.165328482341835,11.207510193101077,0.0
0.03,20.0,1.0,T_first + 3.0 s,498,100.0,21.274924635908143,11.425893664350573,21.3448939715985,10.282087012775822,0.0
0.03,20.0,1.5,T_first + 3.0 s,498,99.79919678714859,24.5497512817,8.599407911316284,26.712388045829332,11.622808757787956,0.2008032128514056
0.03,20.0,2.0,T_first + 3.0 s,498,98.99598393574297,25.500241517983717,8.900756835900001,28.07374633301419,11.211160129862554,0.0
0.03,30.0,1.0,T_first + 3.0 s,498,100.0,20.97539842125814,11.437282621787212,20.62210280828037,9.259954604543687,0.0
0.03,30.0,1.5,T_first + 3.0 s,498,99.79919678714859,24.44959306716743,8.399544239067431,26.08975222988462,10.680297347954577,0.2008032128514056
0.03,30.0,2.0,T_first + 3.0 s,498,99.19678714859438,25.449512124041856,8.93764346838779,27.656086968022592,10.630311218368849,0.0
