trial_id,participant_id,scenario_id,density,nback,first_action_type,action_order_string,dt_steer_minus_brake,dt_brake_minus_accel,is_simultaneous_brake_steer,is_simultaneous_accel_steer
density_20_nback_0_id_53,53,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.75,0.34999990463256836,False,False
density_20_nback_1_id_53,53,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,2.549999952316284,0.34999990463256836,False,False
density_20_nback_2_id_53,53,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,2.25,0.9000000953674316,False,False
density_0_nback_0_id_54,54,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.1499998569488525,0.15000009536743164,False,False
density_0_nback_1_id_54,54,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-42.84999990463257,,False,False
density_0_nback_2_id_54,54,density_0_nback_2,0,2,STEER_FIRST,steer -> brake,-27.84999990463257,,False,False
density_10_nback_0_id_54,54,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> steer -> brake,-0.04999995231628418,0.20000004768371582,True,False
density_10_nback_1_id_54,54,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.5500001907348633,0.09999990463256836,False,False
density_10_nback_2_id_54,54,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,4.1499998569488525,1.2000000476837158,False,False
density_20_nback_0_id_54,54,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-2.9000000953674316,2.1500000953674316,False,False
density_20_nback_1_id_54,54,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,2.0,0.34999990463256836,False,False
density_20_nback_2_id_54,54,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,4.699999809265137,0.8000001907348633,False,False
density_0_nback_0_id_55,55,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,3.8499999046325684,0.10000014305114746,False,False
density_0_nback_1_id_55,55,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-2.6500000953674316,,False,False
density_0_nback_2_id_55,55,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,3.8500001430511475,,False,False
density_10_nback_0_id_55,55,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.5499999523162842,0.7000000476837158,False,False
density_10_nback_1_id_55,55,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,5.449999809265137,0.10000014305114746,False,False
density_10_nback_2_id_55,55,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,6.1499998569488525,1.1500000953674316,False,False
density_20_nback_0_id_55,55,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.7999999523162842,1.0,False,False
density_20_nback_1_id_55,55,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,4.299999952316284,0.34999990463256836,False,False
density_20_nback_2_id_55,55,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,3.549999952316284,0.9000000953674316,False,False
density_0_nback_0_id_56,56,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,2.0,0.20000004768371582,False,False
density_0_nback_1_id_56,56,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-19.700000047683716,,False,False
density_0_nback_2_id_56,56,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,0.7999999523162842,,False,False
density_10_nback_0_id_56,56,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.5999999046325684,0.75,False,False
density_10_nback_1_id_56,56,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.9000000953674316,0.09999990463256836,False,False
density_10_nback_2_id_56,56,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,3.1499998569488525,1.2000000476837158,False,False
density_20_nback_0_id_56,56,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.5499999523162842,0.8499999046325684,False,False
density_20_nback_1_id_56,56,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,3.9000000953674316,0.2999999523162842,False,False
density_20_nback_2_id_56,56,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,6.1000001430511475,0.75,False,False
density_0_nback_0_id_57,57,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.0999999046325684,0.10000014305114746,False,False
density_0_nback_1_id_57,57,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-49.200000047683716,,False,False
density_0_nback_2_id_57,57,density_0_nback_2,0,2,STEER_FIRST,steer -> brake,-33.700000047683716,,False,False
density_10_nback_0_id_57,57,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> brake -> steer,0.09999990463256836,0.04999995231628418,True,False
density_10_nback_1_id_57,57,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,2.049999952316284,0.15000009536743164,False,False
density_10_nback_2_id_57,57,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,4.1499998569488525,1.2000000476837158,False,False
density_20_nback_0_id_57,57,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.5,0.8999998569488525,False,False
density_20_nback_1_id_57,57,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,5.049999952316284,0.2999999523162842,False,False
density_20_nback_2_id_57,57,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,1.3499999046325684,0.9000000953674316,False,False
