trial_id,participant_id,scenario_id,density,nback,brake_extrema_count,brake_reapplication_count,brake_derivative_sign_changes,steering_reversals_count,steering_rate_sign_changes
density_10_nback_0_id_11,11,density_10_nback_0,10,0,7,8,25,42,60
density_10_nback_1_id_11,11,density_10_nback_1,10,1,5,3,15,81,204
density_10_nback_2_id_11,11,density_10_nback_2,10,2,6,4,17,36,60
density_20_nback_0_id_11,11,density_20_nback_0,20,0,4,1,8,224,235
density_20_nback_1_id_11,11,density_20_nback_1,20,1,3,0,14,33,58
density_20_nback_2_id_11,11,density_20_nback_2,20,2,5,4,12,19,238
density_0_nback_0_id_12,12,density_0_nback_0,0,0,2,1,3,73,85
density_0_nback_1_id_12,12,density_0_nback_1,0,1,1,0,2,138,143
density_0_nback_2_id_12,12,density_0_nback_2,0,2,1,0,8,131,183
density_10_nback_0_id_12,12,density_10_nback_0,10,0,5,9,15,39,59
density_10_nback_1_id_12,12,density_10_nback_1,10,1,4,5,11,98,165
density_10_nback_2_id_12,12,density_10_nback_2,10,2,5,8,28,44,59
density_20_nback_0_id_12,12,density_20_nback_0,20,0,4,2,14,203,217
density_20_nback_1_id_12,12,density_20_nback_1,20,1,2,1,16,27,51
density_20_nback_2_id_12,12,density_20_nback_2,20,2,2,0,9,7,239
density_0_nback_0_id_13,13,density_0_nback_0,0,0,1,0,6,69,90
density_0_nback_1_id_13,13,density_0_nback_1,0,1,1,0,0,96,99
density_0_nback_2_id_13,13,density_0_nback_2,0,2,2,0,6,89,148
density_10_nback_0_id_13,13,density_10_nback_0,10,0,3,4,13,32,49
density_10_nback_1_id_13,13,density_10_nback_1,10,1,3,1,6,71,199
density_10_nback_2_id_13,13,density_10_nback_2,10,2,5,3,17,52,64
density_20_nback_0_id_13,13,density_20_nback_0,20,0,4,1,9,175,181
density_20_nback_1_id_13,13,density_20_nback_1,20,1,4,6,15,33,52
density_20_nback_2_id_13,13,density_20_nback_2,20,2,5,8,31,18,264
density_0_nback_0_id_14,14,density_0_nback_0,0,0,3,3,7,59,67
density_0_nback_1_id_14,14,density_0_nback_1,0,1,2,0,3,128,128
density_0_nback_2_id_14,14,density_0_nback_2,0,2,1,0,1,165,177
density_10_nback_0_id_14,14,density_10_nback_0,10,0,4,4,7,32,43
density_10_nback_1_id_14,14,density_10_nback_1,10,1,2,0,5,15,133
density_10_nback_2_id_14,14,density_10_nback_2,10,2,3,3,10,54,65
density_20_nback_0_id_14,14,density_20_nback_0,20,0,2,0,5,133,142
density_20_nback_1_id_14,14,density_20_nback_1,20,1,5,2,14,48,66
density_20_nback_2_id_14,14,density_20_nback_2,20,2,3,2,5,18,143
density_0_nback_0_id_15,15,density_0_nback_0,0,0,4,2,9,95,107
density_0_nback_1_id_15,15,density_0_nback_1,0,1,3,1,7,81,84
density_0_nback_2_id_15,15,density_0_nback_2,0,2,2,0,9,97,163
density_10_nback_0_id_15,15,density_10_nback_0,10,0,7,4,28,46,56
density_10_nback_1_id_15,15,density_10_nback_1,10,1,2,1,11,79,189
density_10_nback_2_id_15,15,density_10_nback_2,10,2,4,1,18,54,69
density_20_nback_0_id_15,15,density_20_nback_0,20,0,4,2,11,227,252
density_20_nback_1_id_15,15,density_20_nback_1,20,1,11,8,34,41,89
density_20_nback_2_id_15,15,density_20_nback_2,20,2,8,7,15,31,251
density_0_nback_0_id_16,16,density_0_nback_0,0,0,1,0,1,74,91
density_0_nback_1_id_16,16,density_0_nback_1,0,1,3,1,9,89,89
density_0_nback_2_id_16,16,density_0_nback_2,0,2,1,0,4,82,177
density_10_nback_0_id_16,16,density_10_nback_0,10,0,5,5,41,46,75
density_10_nback_1_id_16,16,density_10_nback_1,10,1,3,0,7,114,188
density_10_nback_2_id_16,16,density_10_nback_2,10,2,6,5,17,46,62
density_20_nback_0_id_16,16,density_20_nback_0,20,0,2,0,3,227,241
density_20_nback_1_id_16,16,density_20_nback_1,20,1,2,3,9,40,67
density_20_nback_2_id_16,16,density_20_nback_2,20,2,7,6,17,5,259
density_0_nback_0_id_17,17,density_0_nback_0,0,0,2,2,6,69,83
density_0_nback_1_id_17,17,density_0_nback_1,0,1,4,1,9,88,97
density_0_nback_2_id_17,17,density_0_nback_2,0,2,2,0,27,136,168
density_10_nback_0_id_17,17,density_10_nback_0,10,0,7,10,31,30,50
density_10_nback_1_id_17,17,density_10_nback_1,10,1,5,1,15,74,182
density_10_nback_2_id_17,17,density_10_nback_2,10,2,5,5,21,33,55
density_20_nback_0_id_17,17,density_20_nback_0,20,0,3,1,5,221,225
