trial_id,participant_id,scenario_id,density,nback,T_stable_candA,candA_settled,T_stable_candB,candB_settled,T_stable_candC,candC_settled,T_stable_candD,candD_settled,candB_minus_candA,candD_minus_candA
density_10_nback_1_id_5,5,density_10_nback_1,10,1,51.299999952316284,True,56.90000009536743,True,51.40000009536743,True,36.450000047683716,True,5.6000001430511475,-14.849999904632568
density_10_nback_2_id_5,5,density_10_nback_2,10,2,27.40000009536743,True,,False,,False,36.5,True,,9.099999904632568
density_20_nback_0_id_5,5,density_20_nback_0,20,0,82.70000004768372,True,,False,,False,66.34999990463257,True,,-16.350000143051147
density_20_nback_1_id_5,5,density_20_nback_1,20,1,147.04999995231628,True,170.25,True,,False,39.450000047683716,True,23.200000047683716,-107.59999990463257
density_20_nback_2_id_5,5,density_20_nback_2,20,2,81.0,True,93.04999995231628,True,,False,66.90000009536743,True,12.049999952316284,-14.099999904632568
density_0_nback_0_id_6,6,density_0_nback_0,0,0,46.75,True,,False,,False,37.049999952316284,True,,-9.700000047683716
density_0_nback_1_id_6,6,density_0_nback_1,0,1,62.84999990463257,True,,False,,False,48.5,True,,-14.349999904632568
density_0_nback_2_id_6,6,density_0_nback_2,0,2,49.299999952316284,True,71.09999990463257,True,,False,38.549999952316284,True,21.799999952316284,-10.75
density_10_nback_0_id_6,6,density_10_nback_0,10,0,41.799999952316284,True,,False,,False,29.450000047683716,True,,-12.349999904632568
density_10_nback_1_id_6,6,density_10_nback_1,10,1,51.40000009536743,True,54.25,True,52.0,True,38.049999952316284,True,2.8499999046325684,-13.350000143051147
density_10_nback_2_id_6,6,density_10_nback_2,10,2,47.15000009536743,True,,False,,False,37.200000047683716,True,,-9.950000047683716
density_20_nback_0_id_6,6,density_20_nback_0,20,0,75.0,True,,False,,False,60.09999990463257,True,,-14.900000095367432
density_20_nback_1_id_6,6,density_20_nback_1,20,1,58.15000009536743,True,35.40000009536743,True,,False,32.950000047683716,True,-22.75,-25.200000047683716
density_20_nback_2_id_6,6,density_20_nback_2,20,2,67.40000009536743,True,66.20000004768372,True,,False,47.09999990463257,True,-1.2000000476837158,-20.300000190734863
density_0_nback_0_id_7,7,density_0_nback_0,0,0,52.15000009536743,True,70.90000009536743,True,,False,36.84999990463257,True,18.75,-15.300000190734863
density_0_nback_1_id_7,7,density_0_nback_1,0,1,61.950000047683716,True,,False,,False,45.84999990463257,True,,-16.100000143051147
density_0_nback_2_id_7,7,density_0_nback_2,0,2,54.0,True,74.25,True,,False,39.5,True,20.25,-14.5
density_10_nback_0_id_7,7,density_10_nback_0,10,0,21.15000009536743,True,33.59999990463257,True,,False,28.90000009536743,True,12.449999809265137,7.75
density_10_nback_1_id_7,7,density_10_nback_1,10,1,44.25,True,50.549999952316284,True,46.200000047683716,True,34.75,True,6.299999952316284,-9.5
density_10_nback_2_id_7,7,density_10_nback_2,10,2,27.40000009536743,True,,False,,False,37.40000009536743,True,,10.0
density_20_nback_0_id_7,7,density_20_nback_0,20,0,67.40000009536743,True,,False,67.45000004768372,True,56.90000009536743,True,,-10.5
density_20_nback_1_id_7,7,density_20_nback_1,20,1,48.299999952316284,True,,False,,False,33.200000047683716,True,,-15.099999904632568
density_20_nback_2_id_7,7,density_20_nback_2,20,2,69.65000009536743,True,76.29999995231628,True,,False,56.25,True,6.6499998569488525,-13.400000095367432
density_0_nback_0_id_8,8,density_0_nback_0,0,0,60.450000047683716,True,71.09999990463257,True,,False,37.049999952316284,True,10.649999856948853,-23.40000009536743
density_0_nback_1_id_8,8,density_0_nback_1,0,1,64.65000009536743,True,,False,,False,45.09999990463257,True,,-19.550000190734863
density_0_nback_2_id_8,8,density_0_nback_2,0,2,57.950000047683716,True,39.799999952316284,True,,False,39.25,True,-18.15000009536743,-18.700000047683716
density_10_nback_0_id_8,8,density_10_nback_0,10,0,21.200000047683716,True,33.0,True,,False,28.799999952316284,True,11.799999952316284,7.599999904632568
density_10_nback_1_id_8,8,density_10_nback_1,10,1,40.700000047683716,True,30.09999990463257,True,,False,30.049999952316284,True,-10.600000143051147,-10.650000095367432
density_10_nback_2_id_8,8,density_10_nback_2,10,2,59.200000047683716,True,80.29999995231628,True,,False,35.59999990463257,True,21.09999990463257,-23.600000143051147
density_20_nback_0_id_8,8,density_20_nback_0,20,0,74.34999990463257,True,,False,,False,57.90000009536743,True,,-16.449999809265137
density_20_nback_1_id_8,8,density_20_nback_1,20,1,50.200000047683716,True,41.450000047683716,True,,False,33.15000009536743,True,-8.75,-17.049999952316284
density_20_nback_2_id_8,8,density_20_nback_2,20,2,49.59999990463257,True,56.65000009536743,True,,False,56.34999990463257,True,7.050000190734863,6.75
density_0_nback_0_id_9,9,density_0_nback_0,0,0,49.09999990463257,True,,False,,False,37.59999990463257,True,,-11.5
density_0_nback_1_id_9,9,density_0_nback_1,0,1,57.799999952316284,True,38.09999990463257,True,,False,47.049999952316284,True,-19.700000047683716,-10.75
density_0_nback_2_id_9,9,density_0_nback_2,0,2,50.75,True,37.65000009536743,True,,False,39.15000009536743,True,-13.099999904632568,-11.599999904632568
density_10_nback_0_id_9,9,density_10_nback_0,10,0,21.200000047683716,True,,False,,False,33.200000047683716,True,,12.0
density_10_nback_1_id_9,9,density_10_nback_1,10,1,40.09999990463257,True,56.700000047683716,True,,False,39.700000047683716,True,16.600000143051147,-0.39999985694885254
density_10_nback_2_id_9,9,density_10_nback_2,10,2,51.299999952316284,True,,False,,False,36.15000009536743,True,,-15.149999856948853
density_20_nback_0_id_9,9,density_20_nback_0,20,0,49.15000009536743,True,,False,,False,57.299999952316284,True,,8.149999856948853
density_20_nback_1_id_9,9,density_20_nback_1,20,1,57.25,True,58.0,True,,False,42.84999990463257,True,0.75,-14.400000095367432
density_20_nback_2_id_9,9,density_20_nback_2,20,2,94.79999995231628,True,52.799999952316284,True,,False,81.65000009536743,True,-42.0,-13.149999856948853
density_0_nback_0_id_10,10,density_0_nback_0,0,0,48.200000047683716,True,,False,,False,36.90000009536743,True,,-11.299999952316284
density_0_nback_1_id_10,10,density_0_nback_1,0,1,69.15000009536743,True,,False,,False,45.59999990463257,True,,-23.550000190734863
density_0_nback_2_id_10,10,density_0_nback_2,0,2,62.200000047683716,True,77.15000009536743,True,,False,41.25,True,14.950000047683716,-20.950000047683716
density_10_nback_0_id_10,10,density_10_nback_0,10,0,21.34999990463257,True,,False,,False,30.950000047683716,True,,9.600000143051147
density_10_nback_1_id_10,10,density_10_nback_1,10,1,47.700000047683716,True,47.700000047683716,True,,False,35.200000047683716,True,0.0,-12.5
density_10_nback_2_id_10,10,density_10_nback_2,10,2,50.700000047683716,True,,False,,False,36.5,True,,-14.200000047683716
density_20_nback_0_id_10,10,density_20_nback_0,20,0,71.90000009536743,True,,False,,False,56.549999952316284,True,,-15.350000143051147
density_20_nback_1_id_10,10,density_20_nback_1,20,1,66.79999995231628,True,55.5,True,,False,42.0,True,-11.299999952316284,-24.799999952316284
density_20_nback_2_id_10,10,density_20_nback_2,20,2,74.90000009536743,True,73.90000009536743,True,,False,54.700000047683716,True,-1.0,-20.200000047683716
density_0_nback_0_id_11,11,density_0_nback_0,0,0,49.09999990463257,True,,False,,False,37.700000047683716,True,,-11.399999856948853
density_0_nback_1_id_11,11,density_0_nback_1,0,1,58.09999990463257,True,,False,,False,45.450000047683716,True,,-12.649999856948853
density_0_nback_2_id_11,11,density_0_nback_2,0,2,47.59999990463257,True,,False,,False,39.299999952316284,True,,-8.299999952316284
density_10_nback_0_id_11,11,density_10_nback_0,10,0,21.15000009536743,True,,False,,False,29.0,True,,7.849999904632568
density_10_nback_1_id_11,11,density_10_nback_1,10,1,48.299999952316284,True,49.65000009536743,True,,False,34.5,True,1.3500001430511475,-13.799999952316284
density_10_nback_2_id_11,11,density_10_nback_2,10,2,47.299999952316284,True,,False,,False,35.299999952316284,True,,-12.0
density_20_nback_0_id_11,11,density_20_nback_0,20,0,71.84999990463257,True,,False,,False,56.34999990463257,True,,-15.5
density_20_nback_1_id_11,11,density_20_nback_1,20,1,45.450000047683716,True,,False,,False,32.950000047683716,True,,-12.5
density_20_nback_2_id_11,11,density_20_nback_2,20,2,73.34999990463257,True,79.20000004768372,True,,False,56.90000009536743,True,5.8500001430511475,-16.449999809265137
density_0_nback_0_id_12,12,density_0_nback_0,0,0,46.0,True,,False,,False,36.65000009536743,True,,-9.349999904632568
density_0_nback_1_id_12,12,density_0_nback_1,0,1,67.65000009536743,True,,False,,False,45.799999952316284,True,,-21.850000143051147
density_0_nback_2_id_12,12,density_0_nback_2,0,2,50.5,True,71.65000009536743,True,,False,39.0,True,21.15000009536743,-11.5
density_10_nback_0_id_12,12,density_10_nback_0,10,0,47.549999952316284,True,,False,,False,28.700000047683716,True,,-18.84999990463257
density_10_nback_1_id_12,12,density_10_nback_1,10,1,54.549999952316284,True,55.25,True,,False,34.40000009536743,True,0.7000000476837158,-20.149999856948853
density_10_nback_2_id_12,12,density_10_nback_2,10,2,47.950000047683716,True,,False,,False,35.25,True,,-12.700000047683716
density_20_nback_0_id_12,12,density_20_nback_0,20,0,69.65000009536743,True,,False,,False,56.700000047683716,True,,-12.950000047683716
density_20_nback_1_id_12,12,density_20_nback_1,20,1,41.950000047683716,True,43.75,True,,False,32.84999990463257,True,1.7999999523162842,-9.100000143051147
density_20_nback_2_id_12,12,density_20_nback_2,20,2,68.0,True,71.0,True,,False,56.25,True,3.0,-11.75
density_0_nback_0_id_13,13,density_0_nback_0,0,0,50.59999990463257,True,,False,,False,37.049999952316284,True,,-13.549999952316284
density_0_nback_1_id_13,13,density_0_nback_1,0,1,55.700000047683716,True,,False,,False,46.299999952316284,True,,-9.400000095367432
density_0_nback_2_id_13,13,density_0_nback_2,0,2,52.200000047683716,True,74.09999990463257,True,,False,39.34999990463257,True,21.899999856948853,-12.850000143051147
density_10_nback_0_id_13,13,density_10_nback_0,10,0,21.15000009536743,True,35.549999952316284,True,,False,29.0,True,14.399999856948853,7.849999904632568
density_10_nback_1_id_13,13,density_10_nback_1,10,1,48.049999952316284,True,49.65000009536743,True,48.09999990463257,True,35.0,True,1.6000001430511475,-13.049999952316284
density_10_nback_2_id_13,13,density_10_nback_2,10,2,27.34999990463257,True,,False,,False,35.59999990463257,True,,8.25
density_20_nback_0_id_13,13,density_20_nback_0,20,0,74.34999990463257,True,,False,,False,56.75,True,,-17.59999990463257
density_20_nback_1_id_13,13,density_20_nback_1,20,1,47.09999990463257,True,,False,,False,33.34999990463257,True,,-13.75
density_20_nback_2_id_13,13,density_20_nback_2,20,2,68.25,True,76.95000004768372,True,,False,56.84999990463257,True,8.700000047683716,-11.400000095367432
density_0_nback_0_id_14,14,density_0_nback_0,0,0,46.75,True,34.75,True,,False,37.0,True,-12.0,-9.75
density_0_nback_1_id_14,14,density_0_nback_1,0,1,51.549999952316284,True,,False,,False,47.0,True,,-4.549999952316284
density_0_nback_2_id_14,14,density_0_nback_2,0,2,47.09999990463257,True,36.5,True,,False,39.200000047683716,True,-10.599999904632568,-7.8999998569488525
density_10_nback_0_id_14,14,density_10_nback_0,10,0,39.950000047683716,True,,False,,False,28.40000009536743,True,,-11.549999952316284
density_10_nback_1_id_14,14,density_10_nback_1,10,1,44.700000047683716,True,44.34999990463257,True,45.299999952316284,True,34.59999990463257,True,-0.35000014305114746,-10.100000143051147
density_10_nback_2_id_14,14,density_10_nback_2,10,2,47.450000047683716,True,,False,,False,35.700000047683716,True,,-11.75
density_20_nback_0_id_14,14,density_20_nback_0,20,0,62.34999990463257,True,,False,,False,57.25,True,,-5.099999904632568
density_20_nback_1_id_14,14,density_20_nback_1,20,1,45.90000009536743,True,,False,,False,33.5,True,,-12.400000095367432
density_20_nback_2_id_14,14,density_20_nback_2,20,2,62.200000047683716,True,67.84999990463257,True,,False,56.25,True,5.6499998569488525,-5.950000047683716
density_0_nback_0_id_15,15,density_0_nback_0,0,0,51.59999990463257,True,,False,,False,39.84999990463257,True,,-11.75
density_0_nback_1_id_15,15,density_0_nback_1,0,1,57.84999990463257,True,,False,,False,46.049999952316284,True,,-11.799999952316284
density_0_nback_2_id_15,15,density_0_nback_2,0,2,53.84999990463257,True,,False,,False,41.299999952316284,True,,-12.549999952316284
density_10_nback_0_id_15,15,density_10_nback_0,10,0,43.450000047683716,True,,False,,False,31.950000047683716,True,,-11.5
density_10_nback_1_id_15,15,density_10_nback_1,10,1,49.049999952316284,True,49.950000047683716,True,49.049999952316284,True,36.25,True,0.9000000953674316,-12.799999952316284
density_10_nback_2_id_15,15,density_10_nback_2,10,2,27.59999990463257,True,,False,,False,38.40000009536743,True,,10.800000190734863
density_20_nback_0_id_15,15,density_20_nback_0,20,0,75.40000009536743,True,,False,,False,60.25,True,,-15.150000095367432
density_20_nback_1_id_15,15,density_20_nback_1,20,1,64.59999990463257,True,,False,,False,46.90000009536743,True,,-17.699999809265137
density_20_nback_2_id_15,15,density_20_nback_2,20,2,88.34999990463257,True,88.95000004768372,True,,False,77.40000009536743,True,0.6000001430511475,-10.949999809265137
density_0_nback_0_id_16,16,density_0_nback_0,0,0,54.700000047683716,True,31.84999990463257,True,,False,37.049999952316284,True,-22.850000143051147,-17.65000009536743
density_0_nback_1_id_16,16,density_0_nback_1,0,1,61.049999952316284,True,,False,,False,45.549999952316284,True,,-15.5
density_0_nback_2_id_16,16,density_0_nback_2,0,2,55.799999952316284,True,75.90000009536743,True,,False,39.200000047683716,True,20.100000143051147,-16.59999990463257
density_10_nback_0_id_16,16,density_10_nback_0,10,0,21.15000009536743,True,67.95000004768372,True,,False,28.700000047683716,True,46.799999952316284,7.549999952316284
density_10_nback_1_id_16,16,density_10_nback_1,10,1,54.09999990463257,True,57.200000047683716,True,,False,34.90000009536743,True,3.1000001430511475,-19.199999809265137
density_10_nback_2_id_16,16,density_10_nback_2,10,2,27.34999990463257,True,,False,,False,35.450000047683716,True,,8.100000143051147
density_20_nback_0_id_16,16,density_20_nback_0,20,0,49.15000009536743,True,,False,,False,56.700000047683716,True,,7.549999952316284
density_20_nback_1_id_16,16,density_20_nback_1,20,1,46.09999990463257,True,,False,,False,33.0,True,,-13.099999904632568
density_20_nback_2_id_16,16,density_20_nback_2,20,2,69.75,True,56.59999990463257,True,,False,56.299999952316284,True,-13.150000095367432,-13.450000047683716
density_0_nback_0_id_17,17,density_0_nback_0,0,0,47.549999952316284,True,,False,,False,36.700000047683716,True,,-10.849999904632568
density_0_nback_1_id_17,17,density_0_nback_1,0,1,55.25,True,,False,,False,44.549999952316284,True,,-10.700000047683716
density_0_nback_2_id_17,17,density_0_nback_2,0,2,50.200000047683716,True,38.65000009536743,True,,False,38.90000009536743,True,-11.549999952316284,-11.299999952316284
density_10_nback_0_id_17,17,density_10_nback_0,10,0,42.65000009536743,True,32.450000047683716,True,,False,28.450000047683716,True,-10.200000047683716,-14.200000047683716
density_10_nback_1_id_17,17,density_10_nback_1,10,1,45.549999952316284,True,37.75,True,45.59999990463257,True,34.59999990463257,True,-7.799999952316284,-10.950000047683716
density_10_nback_2_id_17,17,density_10_nback_2,10,2,46.09999990463257,True,,False,,False,35.40000009536743,True,,-10.699999809265137
density_20_nback_0_id_17,17,density_20_nback_0,20,0,70.34999990463257,True,65.09999990463257,True,,False,57.049999952316284,True,-5.25,-13.299999952316284
density_20_nback_1_id_17,17,density_20_nback_1,20,1,33.84999990463257,True,46.09999990463257,True,,False,32.700000047683716,True,12.25,-1.1499998569488525
density_20_nback_2_id_17,17,density_20_nback_2,20,2,70.20000004768372,True,78.29999995231628,True,,False,56.049999952316284,True,8.099999904632568,-14.150000095367432
density_0_nback_0_id_18,18,density_0_nback_0,0,0,43.5,True,,False,,False,37.75,True,,-5.75
density_0_nback_1_id_18,18,density_0_nback_1,0,1,58.0,True,,False,,False,45.799999952316284,True,,-12.200000047683716
density_0_nback_2_id_18,18,density_0_nback_2,0,2,51.950000047683716,True,39.09999990463257,True,,False,39.200000047683716,True,-12.850000143051147,-12.75
density_10_nback_0_id_18,18,density_10_nback_0,10,0,40.15000009536743,True,,False,,False,28.90000009536743,True,,-11.25
density_10_nback_1_id_18,18,density_10_nback_1,10,1,52.299999952316284,True,,False,,False,37.84999990463257,True,,-14.450000047683716
density_10_nback_2_id_18,18,density_10_nback_2,10,2,67.34999990463257,True,,False,,False,38.450000047683716,True,,-28.899999856948853
density_20_nback_0_id_18,18,density_20_nback_0,20,0,79.45000004768372,True,,False,,False,63.200000047683716,True,,-16.25
density_20_nback_1_id_18,18,density_20_nback_1,20,1,47.950000047683716,True,39.65000009536743,True,,False,33.299999952316284,True,-8.299999952316284,-14.650000095367432
density_20_nback_2_id_18,18,density_20_nback_2,20,2,90.34999990463257,True,93.95000004768372,True,,False,76.65000009536743,True,3.6000001430511475,-13.699999809265137
density_0_nback_0_id_19,19,density_0_nback_0,0,0,51.84999990463257,True,,False,,False,37.0,True,,-14.849999904632568
density_0_nback_1_id_19,19,density_0_nback_1,0,1,57.59999990463257,True,,False,,False,45.049999952316284,True,,-12.549999952316284
density_0_nback_2_id_19,19,density_0_nback_2,0,2,56.5,True,45.09999990463257,True,,False,39.25,True,-11.400000095367432,-17.25
density_10_nback_0_id_19,19,density_10_nback_0,10,0,21.25,True,36.90000009536743,True,,False,29.450000047683716,True,15.650000095367432,8.200000047683716
density_10_nback_1_id_19,19,density_10_nback_1,10,1,51.75,True,52.200000047683716,True,,False,35.25,True,0.4500000476837158,-16.5
density_10_nback_2_id_19,19,density_10_nback_2,10,2,27.34999990463257,True,,False,,False,35.34999990463257,True,,8.0
density_20_nback_0_id_19,19,density_20_nback_0,20,0,72.40000009536743,True,,False,,False,56.549999952316284,True,,-15.850000143051147
density_20_nback_1_id_19,19,density_20_nback_1,20,1,42.549999952316284,True,69.40000009536743,True,,False,33.09999990463257,True,26.850000143051147,-9.450000047683716
density_20_nback_2_id_19,19,density_20_nback_2,20,2,75.0,True,67.45000004768372,True,,False,56.40000009536743,True,-7.549999952316284,-18.59999990463257
density_0_nback_0_id_20,20,density_0_nback_0,0,0,49.25,True,,False,,False,37.09999990463257,True,,-12.150000095367432
density_0_nback_1_id_20,20,density_0_nback_1,0,1,64.5,True,,False,,False,45.200000047683716,True,,-19.299999952316284
density_0_nback_2_id_20,20,density_0_nback_2,0,2,54.5,True,90.95000004768372,True,,False,39.25,True,36.450000047683716,-15.25
density_10_nback_0_id_20,20,density_10_nback_0,10,0,30.34999990463257,True,,False,,False,28.700000047683716,True,,-1.6499998569488525
density_10_nback_1_id_20,20,density_10_nback_1,10,1,46.450000047683716,True,,False,,False,34.549999952316284,True,,-11.900000095367432
density_10_nback_2_id_20,20,density_10_nback_2,10,2,27.34999990463257,True,,False,,False,35.40000009536743,True,,8.050000190734863
density_20_nback_0_id_20,20,density_20_nback_0,20,0,74.15000009536743,True,,False,,False,56.549999952316284,True,,-17.600000143051147
density_20_nback_1_id_20,20,density_20_nback_1,20,1,65.65000009536743,True,49.59999990463257,True,,False,40.450000047683716,True,-16.050000190734863,-25.200000047683716
density_20_nback_2_id_20,20,density_20_nback_2,20,2,46.40000009536743,True,56.700000047683716,True,,False,54.799999952316284,True,10.299999952316284,8.399999856948853
density_0_nback_0_id_21,21,density_0_nback_0,0,0,52.0,True,72.0,True,,False,37.049999952316284,True,20.0,-14.950000047683716
density_0_nback_1_id_21,21,density_0_nback_1,0,1,57.90000009536743,True,,False,,False,45.549999952316284,True,,-12.350000143051147
density_0_nback_2_id_21,21,density_0_nback_2,0,2,53.0,True,71.25,True,,False,39.15000009536743,True,18.25,-13.849999904632568
density_10_nback_0_id_21,21,density_10_nback_0,10,0,41.950000047683716,True,,False,,False,29.200000047683716,True,,-12.75
density_10_nback_1_id_21,21,density_10_nback_1,10,1,49.0,True,50.049999952316284,True,,False,34.700000047683716,True,1.0499999523162842,-14.299999952316284
density_10_nback_2_id_21,21,density_10_nback_2,10,2,27.65000009536743,True,88.0,True,,False,35.200000047683716,True,60.34999990463257,7.549999952316284
density_20_nback_0_id_21,21,density_20_nback_0,20,0,74.59999990463257,True,52.90000009536743,True,,False,56.700000047683716,True,-21.699999809265137,-17.899999856948853
density_20_nback_1_id_21,21,density_20_nback_1,20,1,50.65000009536743,True,41.450000047683716,True,,False,33.200000047683716,True,-9.200000047683716,-17.450000047683716
density_20_nback_2_id_21,21,density_20_nback_2,20,2,73.04999995231628,True,73.90000009536743,True,,False,56.40000009536743,True,0.8500001430511475,-16.649999856948853
density_0_nback_0_id_22,22,density_0_nback_0,0,0,47.549999952316284,True,,False,,False,36.84999990463257,True,,-10.700000047683716
density_0_nback_1_id_22,22,density_0_nback_1,0,1,54.65000009536743,True,,False,,False,45.700000047683716,True,,-8.950000047683716
density_0_nback_2_id_22,22,density_0_nback_2,0,2,48.65000009536743,True,,False,,False,39.34999990463257,True,,-9.300000190734863
density_10_nback_0_id_22,22,density_10_nback_0,10,0,42.450000047683716,True,,False,,False,28.65000009536743,True,,-13.799999952316284
density_10_nback_1_id_22,22,density_10_nback_1,10,1,44.799999952316284,True,47.40000009536743,True,45.40000009536743,True,34.700000047683716,True,2.6000001430511475,-10.099999904632568
density_10_nback_2_id_22,22,density_10_nback_2,10,2,47.549999952316284,True,,False,,False,36.25,True,,-11.299999952316284
density_20_nback_0_id_22,22,density_20_nback_0,20,0,66.65000009536743,True,77.09999990463257,True,,False,56.5,True,10.449999809265137,-10.150000095367432
density_20_nback_1_id_22,22,density_20_nback_1,20,1,45.34999990463257,True,46.0,True,,False,33.40000009536743,True,0.6500000953674316,-11.949999809265137
density_20_nback_2_id_22,22,density_20_nback_2,20,2,63.700000047683716,True,71.75,True,,False,56.5,True,8.049999952316284,-7.200000047683716
density_0_nback_0_id_23,23,density_0_nback_0,0,0,46.75,True,,False,,False,37.299999952316284,True,,-9.450000047683716
density_0_nback_1_id_23,23,density_0_nback_1,0,1,36.25,True,,False,,False,45.84999990463257,True,,9.599999904632568
density_0_nback_2_id_23,23,density_0_nback_2,0,2,48.59999990463257,True,,False,,False,39.25,True,,-9.349999904632568
