trial_id,participant_id,scenario_id,density,nback,T_request,T_manual_start,delta_T_manual_start,T_first_brake,T_first_steer,T_first_accel,T_first_ctrl,T_first_any,T_effective_dec,T_effective_lat,T_effective_any,T_stable_candA,T_stable_candB,T_stable_candC,T_stable_candD,dt_req_to_manual_start,dt_req_to_first,dt_req_to_first_any,dt_manual_start_to_first,dt_first_to_eff,dt_eff_to_stable_candA,dt_eff_to_stable_candB,dt_req_to_stable_candA,dt_req_to_stable_candB
density_20_nback_0_id_16,16,density_20_nback_0,20,0,48.6492767334,49.7995452881,1.1502685546999984,51.049999952316284,49.0,49.799999952316284,49.0,49.0,49.799999952316284,49.15000009536743,49.15000009536743,49.15000009536743,,,56.700000047683716,1.1502685546999984,0.3507232665999993,0.3507232665999993,-0.7995452880999991,0.15000009536743164,0.0,,0.500723361967431,
density_20_nback_1_id_16,16,density_20_nback_1,20,1,24.0507888794,25.8003101349,1.7495212554999995,24.90000009536743,29.700000047683716,24.15000009536743,24.90000009536743,24.15000009536743,24.15000009536743,30.0,24.15000009536743,46.09999990463257,,,33.0,1.7495212554999995,0.8492112159674328,0.09921121596743276,-0.9003100395325667,-0.75,21.949999809265137,,22.04921102523257,
density_20_nback_2_id_16,16,density_20_nback_2,20,2,49.1499557495,51.0492782593,1.899322509800001,49.34999990463257,53.200000047683716,49.15000009536743,49.34999990463257,49.15000009536743,49.200000047683716,53.299999952316284,49.200000047683716,69.75,56.59999990463257,,56.299999952316284,1.899322509800001,0.20004415513256646,4.434586742974034e-05,-1.6992783546674346,-0.14999985694885254,20.549999952316284,7.3999998569488525,20.600044250499998,7.4500441551325665
density_0_nback_0_id_17,17,density_0_nback_0,0,0,29.450553894,30.6995410919,1.2489871979,30.65000009536743,31.5,30.549999952316284,30.65000009536743,30.549999952316284,30.700000047683716,31.549999952316284,30.700000047683716,47.549999952316284,,,36.700000047683716,1.2489871979,1.199446201367433,1.0994460583162855,-0.04954099653256705,0.04999995231628418,16.84999990463257,,18.099446058316286,
density_0_nback_1_id_17,17,density_0_nback_1,0,1,34.2004699707,35.7005691528,1.5000991821000014,47.75,35.299999952316284,,35.299999952316284,35.299999952316284,37.450000047683716,36.049999952316284,36.049999952316284,55.25,,,44.549999952316284,1.5000991821000014,1.0995299816162856,1.0995299816162856,-0.4005692004837158,0.75,19.200000047683716,,21.0495300293,
density_0_nback_2_id_17,17,density_0_nback_2,0,2,31.8001346588,33.5002365112,1.7001018523999996,34.09999990463257,34.40000009536743,,34.09999990463257,34.09999990463257,35.75,34.450000047683716,34.450000047683716,50.200000047683716,38.65000009536743,,38.90000009536743,1.7001018523999996,2.2998652458325672,2.2998652458325672,0.5997633934325677,0.35000014305114746,15.75,4.200000047683716,18.399865388883715,6.8498654365674305
density_10_nback_0_id_17,17,density_10_nback_0,10,0,21.1001434326,21.6501579285,0.5500144959000011,21.299999952316284,21.299999952316284,21.15000009536743,21.299999952316284,21.15000009536743,21.15000009536743,21.200000047683716,21.15000009536743,42.65000009536743,32.450000047683716,,28.450000047683716,0.5500144959000011,0.1998565197162847,0.04985666276743217,-0.35015797618371636,-0.14999985694885254,21.5,11.299999952316284,21.549856662767432,11.349856615083716
density_10_nback_1_id_17,17,density_10_nback_1,10,1,26.1005077362,27.4003715515,1.2998638153000002,27.40000009536743,30.700000047683716,27.25,27.40000009536743,27.25,27.450000047683716,30.799999952316284,27.450000047683716,45.549999952316284,37.75,45.59999990463257,34.59999990463257,1.2998638153000002,1.2994923591674308,1.1494922637999991,-0.00037145613256939214,0.04999995231628418,18.09999990463257,10.299999952316284,19.449492216116283,11.6494922638
density_10_nback_2_id_17,17,density_10_nback_2,10,2,27.0000743866,28.1002063751,1.1001319884999994,28.15000009536743,29.90000009536743,27.049999952316284,28.15000009536743,27.049999952316284,27.450000047683716,30.0,27.450000047683716,46.09999990463257,,,35.40000009536743,1.1001319884999994,1.1499257087674302,0.049925565716282705,0.049793720267430785,-0.7000000476837158,18.649999856948853,,19.099925518032567,
density_20_nback_0_id_17,17,density_20_nback_0,20,0,48.6004524231,49.7510299683,1.1505775452000009,50.799999952316284,49.0,49.700000047683716,49.0,49.0,49.700000047683716,49.15000009536743,49.15000009536743,70.34999990463257,65.09999990463257,,57.049999952316284,1.1505775452000009,0.3995475768999981,0.3995475768999981,-0.7510299683000028,0.15000009536743164,21.199999809265137,15.949999809265137,21.749547481532566,16.499547481532566
