participant_id,n_trials,delta_t_man_start_median,delta_t_man_start_iqr,dt_req_to_first_median,dt_req_to_first_iqr,dt_first_to_eff_median,dt_first_to_eff_iqr,dt_eff_to_stableA_median,init_peak_bf_median,init_peak_st_deg_median,st_reversals_median,brake_reapp_median,modal_first_action
33,9,1.2999248504000036,0.6500396727999984,1.199253559067433,0.49999547008371437,0.0,0.8500001430511475,20.550000190734863,65.285194397,5.554929360102794,81.0,3.0,BRAKE_FIRST
34,9,1.650465011600005,0.6500663758000016,0.950241565667433,0.7999992370000015,0.04999995231628418,0.2999999523162842,7.700000047683716,44.8251113892,9.94985181641418,72.0,1.0,BRAKE_FIRST
35,9,1.9498558044999967,0.8503074646000002,1.1496825218325668,0.8002717495511504,0.0,0.3000001907348633,20.049999952316284,74.8550796511,5.451853803955977,51.0,3.0,BRAKE_FIRST
36,9,1.900035858199999,0.24976444245000096,1.1996617317674314,0.2999268770092893,0.0,0.5499999523162842,22.799999952316284,38.7356872559,5.8160513611794995,90.0,2.0,BRAKE_FIRST
37,9,2.6497154236,1.899295806899996,1.1499969958837184,0.8500695228674289,0.04999995231628418,0.3000001907348633,13.649999856948853,107.88606262225,4.618344116845773,76.0,0.0,BRAKE_FIRST
38,9,1.5497112273999996,1.4999122619999987,1.1509795189325658,0.8495056628837183,0.0,0.7499997615814209,21.90000009536743,80.2048873901,6.3850370954515645,72.0,1.0,BRAKE_FIRST
39,9,1.3995552063000005,0.39943313599999897,1.149667263032569,0.7507047653348629,0.04999995231628418,0.25,23.950000047683716,97.4105148315,6.52113087266801,78.0,3.0,BRAKE_FIRST
40,9,1.4502601623999993,0.5998191833999975,1.0998427868162821,0.8007161617511471,0.04999995231628418,0.40000009536743164,18.65000009536743,54.6891708374,15.34372476956305,46.0,1.0,BRAKE_FIRST
41,9,1.5491905212999981,0.6492710114000033,1.1493637561837176,0.8000283240674335,0.0,0.2499997615814209,28.950000047683716,62.2089309692,4.57873306384896,86.0,3.0,BRAKE_FIRST
42,9,2.150976181099999,0.29982566830000223,1.1997876167674306,0.8002355098511487,0.0,0.34999990463256836,22.34999990463257,81.3304901123,8.225119250523086,70.0,2.0,BRAKE_FIRST
43,9,1.5996532439999989,0.5992622375999979,1.1004416942162862,0.849027633700004,0.04999995231628418,0.25,27.799999952316284,56.0563964844,5.63051518790834,57.0,3.0,BRAKE_FIRST
44,9,1.3504676818999997,0.09993553159999635,1.1496787071325656,0.8488163948674341,0.04999995231628418,0.2999999523162842,23.799999952316284,37.6221160889,5.888388921977666,65.0,1.0,BRAKE_FIRST
45,9,1.4994220734000017,0.8500404358000004,1.199265003167433,0.8997848034162814,0.04999995231628418,0.19999980926513672,20.200000047683716,66.6524276733,5.663460901195251,80.0,2.0,BRAKE_FIRST
46,9,1.250102996799999,0.35015869130000254,1.050077915167435,0.9485728740162855,0.0,0.2999999523162842,17.549999952316284,100.868400574,4.913748804252971,58.0,1.0,BRAKE_FIRST
47,9,1.7995986938000001,0.9498329164000054,1.0996978283162875,0.8501710892348626,0.0,0.15000009536743164,20.90000009536743,52.365070343,5.3061066283002445,82.0,2.0,BRAKE_FIRST
48,9,1.0497989654000008,1.2500362395999964,1.149586439116284,0.8999860286511456,0.04999995231628418,0.15000009536743164,20.75,134.707321167,5.597969924417527,87.0,4.0,BRAKE_FIRST
49,9,2.5000839233999983,0.9498825072999999,1.1000716686162875,0.800420522651148,0.04999995231628418,0.3000001907348633,47.549999952316284,75.76659011845001,5.194579547427064,72.0,1.0,BRAKE_FIRST
50,9,2.3001899719,0.8006153107000031,1.1002051830162856,0.9001824855511487,0.0,0.34999990463256836,9.600000143051147,82.2606582642,4.812150498630975,71.0,2.0,BRAKE_FIRST
51,9,1.7000007628999967,0.8503856658999958,1.1006705761162863,0.8002622127511465,0.04999995231628418,0.39999985694885254,23.049999952316284,54.3473625183,5.680433943748588,83.0,2.0,BRAKE_FIRST
