trial_id,participant_id,scenario_id,density,nback,total_samples,duration_s,dt_mean,dt_std,is_strictly_monotonic,has_duplicate_timestamps,has_tor_request,tor_request_time,has_manual_start,manual_start_time,has_manual_stop,manual_stop_time,delta_t_manual_start,bf_min,bf_max,acc_min,acc_max,st_min_rad,st_max_rad,min_obstacle_distance,has_lane_change,lane_change_time,collision_outcome,usable_status,reason_code
density_10_nback_1_id_6,6,density_10_nback_1,10,1,1542,77.04999995231628,0.049999999969056644,9.534421627588954e-08,True,False,True,26.050163269,True,27.7500228882,True,46.9002037048,1.6998596192000015,0.0,392.114013672,0.0,1.0,-0.162511020899,0.290266722441,-995.707885742,True,36.4998817444,False,USABLE_FULL,NONE
density_10_nback_2_id_6,6,density_10_nback_2,10,2,1443,72.09999990463257,0.049999999933864475,9.531779414477976e-08,True,False,True,26.9502677917,True,28.4504299164,True,42.0001716614,1.500162124700001,0.0,392.553497314,0.0,1.0,-0.191508322954,0.193431258202,-690.216430664,True,34.9501991272,False,USABLE_FULL,NONE
density_20_nback_0_id_6,6,density_20_nback_0,20,0,2013,100.59999990463257,0.04999999995260068,9.533186373890452e-08,True,False,False,,True,48.4500923157,True,70.5001220703,,0.0,391.552490234,0.0,1.0,-0.185521423817,0.230343788862,-945.012939453,True,55.7501335144,False,USABLE_PREEMPTIVE,PREEMPTIVE_TAKEOVER_NO_TOR_ISSUED
density_20_nback_1_id_6,6,density_20_nback_1,20,1,1569,78.40000009536743,0.050000000060821066,9.541301715081765e-08,True,False,True,24.049489975,True,25.3993244171,True,48.2993927002,1.3498344421000006,0.0,269.17868042,0.0,1.0,-0.425057977438,0.254099398851,-808.323242188,True,30.9001846313,False,USABLE_FULL,NONE
density_20_nback_2_id_6,6,density_20_nback_2,20,2,1860,92.95000004768372,0.0500000000256502,9.538666389951557e-08,True,False,True,37.8006324768,True,39.1502799988,True,62.8007507324,1.349647522000005,0.0,258.087799072,0.0,1.0,-0.289160221815,0.200717136264,-1173.2199707,True,44.0003890991,False,USABLE_FULL,NONE
density_0_nback_0_id_7,7,density_0_nback_0,0,0,1529,76.40000009536743,0.050000000062413244,9.541420967550706e-08,True,False,True,29.4009151459,True,30.3007507324,True,46.2506828308,0.8998355865000001,0.0,74.2908325195,0.0,1.0,-0.208474099636,0.186963781714,-931.547729492,True,34.3508758545,False,USABLE_FULL,NONE
density_0_nback_1_id_7,7,density_0_nback_1,0,1,1712,85.54999995231628,0.04999999997213108,9.534652358945756e-08,True,False,True,34.1997146606,True,37.100402832,True,55.4003067017,2.900688171399999,0.0,177.2996521,0.0,1.0,-0.634571492672,0.293781399727,-880.205810547,True,41.5503845215,False,USABLE_FULL,NONE
density_0_nback_2_id_7,7,density_0_nback_2,0,2,1565,78.20000004768372,0.05000000003048831,9.539029025969391e-08,True,False,True,31.7496109009,True,34.1500968933,True,48.0998954773,2.4004859924000037,0.0,76.5938339233,0.0,1.0,-0.617931187153,1.13800954819,-978.361450195,True,38.2501907349,False,USABLE_FULL,NONE
density_10_nback_0_id_7,7,density_10_nback_0,10,0,1343,67.09999990463257,0.04999999992893634,9.531409250256862e-08,True,False,True,21.1498985291,True,22.7002353668,True,37.00025177,1.5503368377000015,0.0,73.5521850586,0.0,1.0,-0.458341658115,0.910885691643,-733.758056641,True,27.0002231598,False,USABLE_FULL,NONE
density_10_nback_1_id_7,7,density_10_nback_1,10,1,1482,74.04999995231628,0.04999999996780303,9.53432754171318e-08,True,False,True,26.0504684448,True,28.6000175476,True,43.9004859924,2.5495491028000004,0.0,252.543777466,0.0,1.0,-0.193191558123,0.11672988534,-1018.44592285,True,33.1498641968,False,USABLE_FULL,NONE
