speed_kmh,mu,branch,parameter,dT_dp_at_mid,elasticity_at_mid,swing_s,abs_swing_s,share_of_oat_swing
100,1.0,P2|AUTH_UNCERTAIN,f_auth,-0.60519,-0.07651,-0.60519,0.60519,0.17743
100,0.5,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.38008,1.85,1.85,0.76761
100,0.5,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.02015,0.12,0.12,0.04979
100,0.5,P0|AUTH_AT_EFFECTIVE,t3,0.48896,0.06717,0.44007,0.44007,0.1826
100,0.5,P0|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
100,0.5,P0|AUTH_UNCERTAIN,t1,0.96038,0.37021,1.77671,1.77671,0.69962
100,0.5,P0|AUTH_UNCERTAIN,t2,0.98846,0.0202,0.11861,0.11861,0.04671
100,0.5,P0|AUTH_UNCERTAIN,t3,0.48319,0.06732,0.43487,0.43487,0.17124
100,0.5,P0|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P0|AUTH_UNCERTAIN,a_drag,-0.24657,-0.01416,-0.04492,0.04492,0.01769
100,0.5,P0|AUTH_UNCERTAIN,f_auth,0.16441,0.01527,0.16441,0.16441,0.06474
100,0.5,P1,t1,0.90995,0.35659,1.68341,1.68341,0.72363
100,0.5,P1,t2,0.97691,0.02029,0.11723,0.11723,0.05039
100,0.5,P1,t3,0.47742,0.06762,0.42968,0.42968,0.1847
100,0.5,P1,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P1,a_drag,-0.527,-0.03076,-0.09602,0.09602,0.04128
100,0.5,P2|AUTH_AT_EFFECTIVE,t1,0.46885,0.21867,0.86737,0.86737,0.37886
100,0.5,P2|AUTH_AT_EFFECTIVE,t2,0.8506,0.02103,0.10207,0.10207,0.04458
100,0.5,P2|AUTH_AT_EFFECTIVE,t3,0.41426,0.06983,0.37284,0.37284,0.16285
100,0.5,P2|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
100,0.5,P2|AUTH_AT_EFFECTIVE,a_sup,-0.47357,-0.21288,-0.94713,0.94713,0.4137
100,0.5,P2|AUTH_UNCERTAIN,t1,0.64694,0.27804,1.19683,1.19683,0.3818
100,0.5,P2|AUTH_UNCERTAIN,t2,0.91376,0.02082,0.10965,0.10965,0.03498
100,0.5,P2|AUTH_UNCERTAIN,t3,0.44584,0.06926,0.40126,0.40126,0.128
100,0.5,P2|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P2|AUTH_UNCERTAIN,a_drag,-0.23077,-0.01477,-0.04205,0.04205,0.01341
100,0.5,P2|AUTH_UNCERTAIN,a_sup,-0.26952,-0.11165,-0.53903,0.53903,0.17195
100,0.5,P2|AUTH_UNCERTAIN,f_auth,-0.84593,-0.08761,-0.84593,0.84593,0.26986
130,1.0,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.42042,1.85,1.85,0.57213
130,1.0,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.02229,0.12,0.12,0.03711
130,1.0,P0|AUTH_AT_EFFECTIVE,t3,0.48656,0.07394,0.4379,0.4379,0.13543
130,1.0,P0|AUTH_AT_EFFECTIVE,a_max,-0.3001,-0.47214,-0.82562,0.82562,0.25533
130,1.0,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
130,1.0,P0|AUTH_UNCERTAIN,t1,0.96193,0.41046,1.77958,1.77958,0.5332
130,1.0,P0|AUTH_UNCERTAIN,t2,0.98708,0.02233,0.11845,0.11845,0.03549
130,1.0,P0|AUTH_UNCERTAIN,t3,0.4801,0.07404,0.43209,0.43209,0.12946
130,1.0,P0|AUTH_UNCERTAIN,a_max,-0.29241,-0.46692,-0.80447,0.80447,0.24104
130,1.0,P0|AUTH_UNCERTAIN,a_drag,-0.16072,-0.01486,-0.04499,0.04499,0.01348
130,1.0,P0|AUTH_UNCERTAIN,f_auth,0.15798,0.01624,0.15798,0.15798,0.04733
130,1.0,P1,t1,0.91169,0.39596,1.68663,1.68663,0.5422
130,1.0,P1,t2,0.97416,0.02243,0.1169,0.1169,0.03758
130,1.0,P1,t3,0.47364,0.07435,0.42628,0.42628,0.13703
130,1.0,P1,a_max,-0.28482,-0.46292,-0.78359,0.78359,0.2519
130,1.0,P1,a_drag,-0.3478,-0.03274,-0.09735,0.09735,0.03129
130,1.0,P2|AUTH_AT_EFFECTIVE,t1,0.63025,0.30721,1.16596,1.16596,0.39477
130,1.0,P2|AUTH_AT_EFFECTIVE,t2,0.88508,0.02287,0.10621,0.10621,0.03596
130,1.0,P2|AUTH_AT_EFFECTIVE,t3,0.4291,0.0756,0.38619,0.38619,0.13076
130,1.0,P2|AUTH_AT_EFFECTIVE,a_max,-0.23523,-0.42908,-0.64714,0.64714,0.21911
130,1.0,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
130,1.0,P2|AUTH_AT_EFFECTIVE,a_sup,-0.324,-0.15222,-0.648,0.648,0.2194
130,1.0,P2|AUTH_UNCERTAIN,t1,0.74426,0.34398,1.37687,1.37687,0.3892
130,1.0,P2|AUTH_UNCERTAIN,t2,0.92962,0.02278,0.11155,0.11155,0.03153
130,1.0,P2|AUTH_UNCERTAIN,t3,0.45137,0.0754,0.40623,0.40623,0.11483
130,1.0,P2|AUTH_UNCERTAIN,a_max,-0.25943,-0.44871,-0.71373,0.71373,0.20175
130,1.0,P2|AUTH_UNCERTAIN,a_drag,-0.15305,-0.01533,-0.04284,0.04284,0.01211
130,1.0,P2|AUTH_UNCERTAIN,a_sup,-0.18285,-0.08146,-0.36571,0.36571,0.10338
130,1.0,P2|AUTH_UNCERTAIN,f_auth,-0.52073,-0.05799,-0.52073,0.52073,0.1472
130,0.5,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.32972,1.85,1.85,0.76688
130,0.5,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.01748,0.12,0.12,0.04974
130,0.5,P0|AUTH_AT_EFFECTIVE,t3,0.49151,0.05858,0.44236,0.44236,0.18337
130,0.5,P0|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
130,0.5,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
130,0.5,P0|AUTH_UNCERTAIN,t1,0.94527,0.31709,1.74874,1.74874,0.67327
130,0.5,P0|AUTH_UNCERTAIN,t2,0.98708,0.01755,0.11845,0.11845,0.0456
130,0.5,P0|AUTH_UNCERTAIN,t3,0.48505,0.05881,0.43654,0.43654,0.16807
130,0.5,P0|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
130,0.5,P0|AUTH_UNCERTAIN,a_drag,-0.23762,-0.01728,-0.06651,0.06651,0.02561
130,0.5,P0|AUTH_UNCERTAIN,f_auth,0.22715,0.01836,0.22715,0.22715,0.08745
130,0.5,P1,t1,0.87879,0.3006,1.62577,1.62577,0.70281
130,0.5,P1,t2,0.97416,0.01766,0.1169,0.1169,0.05053
130,0.5,P1,t3,0.47859,0.05917,0.43073,0.43073,0.1862
130,0.5,P1,a_max,0.0,0.0,0.0,0.0,0.0
