scenario_id,v0_kmh,ttc_s,hazard_distance_m,mu,branch,policy,authority_assumption,t1_s,t2_s,t3_s,a_pre_profile,a_drag_mps2,a_sup_mps2,a_max_capability_mps2,a_effective_mps2,t_required_min_s,t_required_max_s,recoverability_margin_best_s,recoverability_margin_worst_s,distance_margin_best_m,distance_margin_worst_m,classification,boundary_flag,classification_if_t1_high_4s,t1_high_4s_bound_method
v60_mu1.0_P1_ttc2.0,60,2.0,33.33,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.0529,-0.3432,-3.0529,-5.72,-50.88,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu1.0_P1_ttc3.0,60,3.0,50.0,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.0529,0.6568,-2.0529,10.95,-34.22,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P1_ttc5.0,60,5.0,83.33,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.0529,2.6568,-0.0529,44.28,-0.88,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P1_ttc7.0,60,7.0,116.67,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.0529,4.6568,1.9471,77.61,32.45,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P1_ttc10.0,60,10.0,166.67,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.0529,7.6568,4.9471,127.61,82.45,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc2.0,60,2.0,33.33,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,4.3297,0.1166,-2.3297,1.94,-38.83,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc3.0,60,3.0,50.0,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,4.3297,1.1166,-1.3297,18.61,-22.16,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc5.0,60,5.0,83.33,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,4.3297,3.1166,0.6703,51.94,11.17,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc7.0,60,7.0,116.67,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,4.3297,5.1166,2.6703,85.28,44.51,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc10.0,60,10.0,166.67,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,4.3297,8.1166,5.6703,135.28,94.51,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_UNCERTAIN_ttc2.0,60,2.0,33.33,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,5.0529,0.1166,-3.0529,1.94,-50.88,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_UNCERTAIN_ttc3.0,60,3.0,50.0,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,5.0529,1.1166,-2.0529,18.61,-34.22,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_UNCERTAIN_ttc5.0,60,5.0,83.33,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,5.0529,3.1166,-0.0529,51.94,-0.88,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_UNCERTAIN_ttc7.0,60,7.0,116.67,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,5.0529,5.1166,1.9471,85.28,32.45,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P2|AUTH_UNCERTAIN_ttc10.0,60,10.0,166.67,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",1.8834,5.0529,8.1166,4.9471,135.28,82.45,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc2.0,60,2.0,33.33,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.1678,5.5713,-1.1678,-3.5713,-19.46,-59.52,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc3.0,60,3.0,50.0,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.1678,5.5713,-0.1678,-2.5713,-2.8,-42.85,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc5.0,60,5.0,83.33,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.1678,5.5713,1.8322,-0.5713,30.54,-9.52,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc7.0,60,7.0,116.67,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.1678,5.5713,3.8322,1.4287,63.87,23.81,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc10.0,60,10.0,166.67,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.1678,5.5713,6.8322,4.4287,113.87,73.81,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_UNCERTAIN_ttc2.0,60,2.0,33.33,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.5713,-1.103,-3.5713,-18.38,-59.52,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_UNCERTAIN_ttc3.0,60,3.0,50.0,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.5713,-0.103,-2.5713,-1.72,-42.85,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_UNCERTAIN_ttc5.0,60,5.0,83.33,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.5713,1.897,-0.5713,31.62,-9.52,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_UNCERTAIN_ttc7.0,60,7.0,116.67,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.5713,3.897,1.4287,64.95,23.81,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P0|AUTH_UNCERTAIN_ttc10.0,60,10.0,166.67,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.5713,6.897,4.4287,114.95,73.81,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P1_ttc2.0,60,2.0,33.33,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.4432,-1.103,-3.4432,-18.38,-57.39,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu0.5_P1_ttc3.0,60,3.0,50.0,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.4432,-0.103,-2.4432,-1.72,-40.72,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu0.5_P1_ttc5.0,60,5.0,83.33,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.4432,1.897,-0.4432,31.62,-7.39,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu0.5_P1_ttc7.0,60,7.0,116.67,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.4432,3.897,1.5568,64.95,25.95,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P1_ttc10.0,60,10.0,166.67,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.1264, 0.2267]",,"[6.43, 9.1]","[4.905, 4.905]",3.103,5.4432,6.897,4.5568,114.95,75.95,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc2.0,60,2.0,33.33,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,4.6061,-0.3769,-2.6061,-6.28,-43.44,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc3.0,60,3.0,50.0,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,4.6061,0.6231,-1.6061,10.39,-26.77,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc5.0,60,5.0,83.33,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,4.6061,2.6231,0.3939,43.72,6.56,ROBUSTLY SATISFIED,False,PARAMETER-SENSITIVE,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc7.0,60,7.0,116.67,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,4.6061,4.6231,2.3939,77.05,39.9,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc10.0,60,10.0,166.67,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,4.6061,7.6231,5.3939,127.05,89.9,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_UNCERTAIN_ttc2.0,60,2.0,33.33,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,5.4432,-0.3769,-3.4432,-6.28,-57.39,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_UNCERTAIN_ttc3.0,60,3.0,50.0,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,5.4432,0.6231,-2.4432,10.39,-40.72,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_UNCERTAIN_ttc5.0,60,5.0,83.33,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,5.4432,2.6231,-0.4432,43.72,-7.39,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_UNCERTAIN_ttc7.0,60,7.0,116.67,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,5.4432,4.6231,1.5568,77.05,25.95,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,stationary_point_t1_bound
v60_mu0.5_P2|AUTH_UNCERTAIN_ttc10.0,60,10.0,166.67,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.1264, 0.2267]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",2.3769,5.4432,7.6231,4.5568,127.05,75.95,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,stationary_point_t1_bound
v100_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc2.0,100,2.0,55.56,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.947,5.9881,-0.947,-3.9881,-26.31,-110.78,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
