participant_id,n_trials,median_t_button_s,mean_t_button_s,slope_t_button_s_per_exposure,cell_adjusted_slope_t_button_s_per_exposure,age,accu_years,accu_km,driving_frequency,assist_frequency,n_trials_single_tor,median_t_button_s_single_tor,slope_t_button_s_per_exposure_single_tor,mean_t_button_s_single_tor,cell_adjusted_slope_t_button_s_per_exposure_single_tor
46,9,1.250102996799999,1.1554147932444434,-0.0057847340883336006,-0.010871455702141755,44,24.0,500,0.5,2.0,9,1.250102996799999,-0.0057847340883336006,1.1554147932444434,-0.01126819961116438
47,9,1.7995986938,1.7665835486333326,-0.009943834936666377,-0.034142325686078744,23,5.0,0,0.0,1.0,9,1.7995986938,-0.009943834936666377,1.7665835486333326,-0.03732835320897138
48,9,1.0497989654000008,1.255580054377778,-0.0983320872033335,-0.10614972358701695,72,50.0,150,0.5,2.0,9,1.0497989654000008,-0.0983320872033335,1.255580054377778,-0.11001662122273488
49,9,2.5000839233999983,2.288869010055556,-0.11501884460833374,-0.10720120822465028,29,4.0,100,0.02,0.0,9,2.5000839233999983,-0.11501884460833374,2.288869010055556,-0.10333431058893232
50,8,2.250011444050001,2.0249617099624997,-0.11419572831166667,-0.1107181265396771,32,5.0,100,0.5,0.0,8,2.250011444050001,-0.11419572831166667,2.0249617099624997,-0.1102236017696147
51,9,1.700000762899997,1.6500598059777782,-0.053373082484999924,-0.03764745634274732,49,30.0,1200,4.0,0.0,9,1.700000762899997,-0.053373082484999924,1.6500598059777782,-0.0335277975363184
52,9,1.750038147000005,1.850099351666667,0.014940992990000304,0.03913948373941267,29,5.0,0,0.0,0.0,9,1.750038147000005,0.014940992990000304,1.850099351666667,0.042325511262305174
53,9,1.3999557494999983,1.2278302510666665,0.054097779591666985,0.049011057977858895,27,3.0,500,0.1,0.0,9,1.3999557494999983,0.054097779591666985,1.2278302510666665,0.048614314068836234
54,9,1.1999168396000002,1.2554073333666662,-0.023425261183332758,0.0007732295660796359,35,6.0,3000,4.0,2.0,9,1.1999168396000002,-0.023425261183332758,1.2554073333666662,0.003959257088972243
55,9,2.3502674103000025,2.2891841464444442,0.03495394389499976,0.037879141358304766,24,5.0,1000,0.2,0.0,9,2.3502674103000025,0.03495394389499976,2.2891841464444442,0.039169873225273495
56,9,1.500133514399998,2.2000408172555552,-0.1666272163400002,-0.17444485272368368,22,5.0,2500,0.5,0.0,9,1.500133514399998,-0.1666272163400002,2.2000408172555552,-0.17831175035940153
57,9,1.5499668120999992,1.6888330247555556,-0.0808504422533339,-0.06167935074132224,27,5.0,0,0.0,5.0,9,1.5499668120999992,-0.0808504422533339,1.6888330247555556,-0.06029627657103571
